,NEWCollabToolsWorkedWith,Confluence,Jira,Slack,Microsoft Azure,Trello,Github,Gitlab,"Google Suite (Docs, Meet, etc)",Microsoft Teams,Stack Overflow for Teams,Facebook Workplace
36606,,0,0,0,0,0,0,0,0,0,0,0
36607,Jira,0,1,0,0,0,0,0,0,0,0,0
36608,Confluence;Jira;Github;Gitlab;Slack;Microsoft Azure,1,1,1,1,0,1,1,0,0,0,0
36609,,0,0,0,0,0,0,0,0,0,0,0
36610,,0,0,0,0,0,0,0,0,0,0,0
36611,,0,0,0,0,0,0,0,0,0,0,0
36612,Jira;Github;Gitlab,0,1,0,0,0,1,1,0,0,0,0
36613,Confluence;Jira;Github;Gitlab;Slack,1,1,1,0,0,1,1,0,0,0,0
36614,,0,0,0,0,0,0,0,0,0,0,0
36615,,0,0,0,0,0,0,0,0,0,0,0
36616,,0,0,0,0,0,0,0,0,0,0,0
36617,,0,0,0,0,0,0,0,0,0,0,0
36618,,0,0,0,0,0,0,0,0,0,0,0
36619,,0,0,0,0,0,0,0,0,0,0,0
36620,,0,0,0,0,0,0,0,0,0,0,0
36621,,0,0,0,0,0,0,0,0,0,0,0
36622,Github,0,0,0,0,0,1,0,0,0,0,0
36623,,0,0,0,0,0,0,0,0,0,0,0
36624,,0,0,0,0,0,0,0,0,0,0,0
36625,"Confluence;Jira;Github;Gitlab;Google Suite (Docs, Meet, etc)",1,1,0,0,0,1,1,1,0,0,0
36626,,0,0,0,0,0,0,0,0,0,0,0
36627,"Github;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,0,1,1,0,1,0,1,1,1,0
36628,,0,0,0,0,0,0,0,0,0,0,0
36629,,0,0,0,0,0,0,0,0,0,0,0
36630,,0,0,0,0,0,0,0,0,0,0,0
36631,,0,0,0,0,0,0,0,0,0,0,0
36632,Confluence;Jira;Github;Gitlab;Slack;Trello,1,1,1,0,1,1,1,0,0,0,0
36633,Jira;Github;Gitlab;Slack;Trello,0,1,1,0,1,1,1,0,0,0,0
36634,Github,0,0,0,0,0,1,0,0,0,0,0
36635,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,1,1,0,0,0
36636,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,0,1,0,0,0
36637,Microsoft Azure,0,0,0,1,0,0,0,0,0,0,0
36638,Github;Gitlab;Slack;Stack Overflow for Teams,0,0,1,0,0,1,1,0,0,1,0
36639,,0,0,0,0,0,0,0,0,0,0,0
36640,"Confluence;Jira;Github;Gitlab;Google Suite (Docs, Meet, etc)",1,1,0,0,0,1,1,1,0,0,0
36641,"Github;Trello;Google Suite (Docs, Meet, etc)",0,0,0,0,1,1,0,1,0,0,0
36642,,0,0,0,0,0,0,0,0,0,0,0
36643,,0,0,0,0,0,0,0,0,0,0,0
36644,,0,0,0,0,0,0,0,0,0,0,0
36645,"Google Suite (Docs, Meet, etc)",0,0,0,0,0,0,0,1,0,0,0
36646,Github,0,0,0,0,0,1,0,0,0,0,0
36647,Jira;Github;Trello,0,1,0,0,1,1,0,0,0,0,0
36648,Github;Microsoft Teams,0,0,0,0,0,1,0,0,1,0,0
36649,,0,0,0,0,0,0,0,0,0,0,0
36650,,0,0,0,0,0,0,0,0,0,0,0
36651,,0,0,0,0,0,0,0,0,0,0,0
36652,,0,0,0,0,0,0,0,0,0,0,0
36653,,0,0,0,0,0,0,0,0,0,0,0
36654,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,1,1,0,0,0
36655,,0,0,0,0,0,0,0,0,0,0,0
36656,Confluence;Jira;Github;Gitlab,1,1,0,0,0,1,1,0,0,0,0
36657,"Jira;Github;Trello;Google Suite (Docs, Meet, etc)",0,1,0,0,1,1,0,1,0,0,0
36658,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,1,1,0,0,0
36659,,0,0,0,0,0,0,0,0,0,0,0
36660,,0,0,0,0,0,0,0,0,0,0,0
36661,Github;Stack Overflow for Teams,0,0,0,0,0,1,0,0,0,1,0
36662,,0,0,0,0,0,0,0,0,0,0,0
36663,Jira;Github;Gitlab;Slack;Trello,0,1,1,0,1,1,1,0,0,0,0
36664,,0,0,0,0,0,0,0,0,0,0,0
36665,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,1,1,0,0,0
36666,Jira;Github;Gitlab;Slack;Trello,0,1,1,0,1,1,1,0,0,0,0
36667,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
36668,Jira;Microsoft Teams,0,1,0,0,0,0,0,0,1,0,0
36669,,0,0,0,0,0,0,0,0,0,0,0
36670,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,0,1,0,0,0
36671,,0,0,0,0,0,0,0,0,0,0,0
36672,,0,0,0,0,0,0,0,0,0,0,0
36673,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
36674,,0,0,0,0,0,0,0,0,0,0,0
36675,,0,0,0,0,0,0,0,0,0,0,0
36676,"Github;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,0,0,1,1,1,0,1,0,1,0
36677,Jira;Github;Gitlab;Slack,0,1,1,0,0,1,1,0,0,0,0
36678,Github,0,0,0,0,0,1,0,0,0,0,0
36679,,0,0,0,0,0,0,0,0,0,0,0
36680,,0,0,0,0,0,0,0,0,0,0,0
36681,Microsoft Teams;Microsoft Azure,0,0,0,1,0,0,0,0,1,0,0
36682,,0,0,0,0,0,0,0,0,0,0,0
36683,,0,0,0,0,0,0,0,0,0,0,0
36684,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
36685,Confluence;Jira;Github;Microsoft Teams;Trello,1,1,0,0,1,1,0,0,1,0,0
36686,,0,0,0,0,0,0,0,0,0,0,0
36687,Github,0,0,0,0,0,1,0,0,0,0,0
36688,,0,0,0,0,0,0,0,0,0,0,0
36689,"Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",0,0,0,0,1,1,1,1,0,0,0
36690,"Confluence;Jira;Github;Gitlab;Facebook Workplace;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",1,1,1,1,1,1,1,1,1,1,1
36691,,0,0,0,0,0,0,0,0,0,0,0
36692,,0,0,0,0,0,0,0,0,0,0,0
36693,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
36694,Github;Slack;Trello,0,0,1,0,1,1,0,0,0,0,0
36695,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,1,1,0,0,0
36696,"Github;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,0,0,0
36697,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
36698,Confluence;Github;Microsoft Teams,1,0,0,0,0,1,0,0,1,0,0
36699,,0,0,0,0,0,0,0,0,0,0,0
36700,"Confluence;Jira;Github;Gitlab;Facebook Workplace;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",1,1,1,1,1,1,1,1,1,1,1
36701,,0,0,0,0,0,0,0,0,0,0,0
36702,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,0,1,0,0,0
36703,,0,0,0,0,0,0,0,0,0,0,0
36704,,0,0,0,0,0,0,0,0,0,0,0
36705,,0,0,0,0,0,0,0,0,0,0,0
36706,,0,0,0,0,0,0,0,0,0,0,0
36707,,0,0,0,0,0,0,0,0,0,0,0
36708,,0,0,0,0,0,0,0,0,0,0,0
36709,Github;Gitlab;Slack;Microsoft Azure,0,0,1,1,0,1,1,0,0,0,0
36710,Github;Slack;Stack Overflow for Teams,0,0,1,0,0,1,0,0,0,1,0
36711,,0,0,0,0,0,0,0,0,0,0,0
36712,,0,0,0,0,0,0,0,0,0,0,0
36713,,0,0,0,0,0,0,0,0,0,0,0
36714,,0,0,0,0,0,0,0,0,0,0,0
36715,,0,0,0,0,0,0,0,0,0,0,0
36716,,0,0,0,0,0,0,0,0,0,0,0
36717,,0,0,0,0,0,0,0,0,0,0,0
36718,,0,0,0,0,0,0,0,0,0,0,0
36719,,0,0,0,0,0,0,0,0,0,0,0
36720,,0,0,0,0,0,0,0,0,0,0,0
36721,,0,0,0,0,0,0,0,0,0,0,0
36722,,0,0,0,0,0,0,0,0,0,0,0
36723,Confluence;Github;Slack,1,0,1,0,0,1,0,0,0,0,0
36724,Gitlab,0,0,0,0,0,0,1,0,0,0,0
36725,,0,0,0,0,0,0,0,0,0,0,0
36726,,0,0,0,0,0,0,0,0,0,0,0
36727,,0,0,0,0,0,0,0,0,0,0,0
36728,"Jira;Github;Google Suite (Docs, Meet, etc)",0,1,0,0,0,1,0,1,0,0,0
36729,Confluence;Jira;Github;Slack;Microsoft Teams,1,1,1,0,0,1,0,0,1,0,0
36730,,0,0,0,0,0,0,0,0,0,0,0
36731,,0,0,0,0,0,0,0,0,0,0,0
36732,,0,0,0,0,0,0,0,0,0,0,0
36733,,0,0,0,0,0,0,0,0,0,0,0
36734,"Gitlab;Trello;Google Suite (Docs, Meet, etc)",0,0,0,0,1,0,1,1,0,0,0
36735,Github,0,0,0,0,0,1,0,0,0,0,0
36736,,0,0,0,0,0,0,0,0,0,0,0
36737,,0,0,0,0,0,0,0,0,0,0,0
36738,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
36739,,0,0,0,0,0,0,0,0,0,0,0
36740,"Github;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,0,0,0
36741,,0,0,0,0,0,0,0,0,0,0,0
36742,Github,0,0,0,0,0,1,0,0,0,0,0
36743,,0,0,0,0,0,0,0,0,0,0,0
36744,,0,0,0,0,0,0,0,0,0,0,0
36745,Confluence;Jira;Slack;Trello,1,1,1,0,1,0,0,0,0,0,0
36746,,0,0,0,0,0,0,0,0,0,0,0
36747,"Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",0,1,0,0,1,1,1,1,0,0,0
36748,Jira;Github;Gitlab;Microsoft Teams;Microsoft Azure,0,1,0,1,0,1,1,0,1,0,0
36749,,0,0,0,0,0,0,0,0,0,0,0
36750,Github;Gitlab;Trello,0,0,0,0,1,1,1,0,0,0,0
36751,,0,0,0,0,0,0,0,0,0,0,0
36752,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
36753,Gitlab;Slack,0,0,1,0,0,0,1,0,0,0,0
36754,,0,0,0,0,0,0,0,0,0,0,0
36755,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,1,1,0,0,0
36756,,0,0,0,0,0,0,0,0,0,0,0
36757,Jira;Github;Slack,0,1,1,0,0,1,0,0,0,0,0
36758,,0,0,0,0,0,0,0,0,0,0,0
36759,Jira,0,1,0,0,0,0,0,0,0,0,0
36760,,0,0,0,0,0,0,0,0,0,0,0
36761,,0,0,0,0,0,0,0,0,0,0,0
36762,Github,0,0,0,0,0,1,0,0,0,0,0
36763,,0,0,0,0,0,0,0,0,0,0,0
36764,,0,0,0,0,0,0,0,0,0,0,0
36765,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,1,1,0,1,1,1,1,0,1,0
36766,,0,0,0,0,0,0,0,0,0,0,0
36767,,0,0,0,0,0,0,0,0,0,0,0
36768,,0,0,0,0,0,0,0,0,0,0,0
36769,,0,0,0,0,0,0,0,0,0,0,0
36770,,0,0,0,0,0,0,0,0,0,0,0
36771,Github,0,0,0,0,0,1,0,0,0,0,0
36772,,0,0,0,0,0,0,0,0,0,0,0
36773,,0,0,0,0,0,0,0,0,0,0,0
36774,,0,0,0,0,0,0,0,0,0,0,0
36775,,0,0,0,0,0,0,0,0,0,0,0
36776,,0,0,0,0,0,0,0,0,0,0,0
36777,Github;Gitlab;Facebook Workplace;Microsoft Teams,0,0,0,0,0,1,1,0,1,0,1
36778,Github,0,0,0,0,0,1,0,0,0,0,0
36779,,0,0,0,0,0,0,0,0,0,0,0
36780,,0,0,0,0,0,0,0,0,0,0,0
36781,,0,0,0,0,0,0,0,0,0,0,0
36782,Github,0,0,0,0,0,1,0,0,0,0,0
36783,,0,0,0,0,0,0,0,0,0,0,0
36784,Jira;Github;Slack,0,1,1,0,0,1,0,0,0,0,0
36785,,0,0,0,0,0,0,0,0,0,0,0
36786,,0,0,0,0,0,0,0,0,0,0,0
36787,Github;Slack;Trello,0,0,1,0,1,1,0,0,0,0,0
36788,,0,0,0,0,0,0,0,0,0,0,0
36789,Github,0,0,0,0,0,1,0,0,0,0,0
36790,,0,0,0,0,0,0,0,0,0,0,0
36791,,0,0,0,0,0,0,0,0,0,0,0
36792,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",0,0,1,0,0,1,1,1,0,0,0
36793,,0,0,0,0,0,0,0,0,0,0,0
36794,,0,0,0,0,0,0,0,0,0,0,0
36795,"Jira;Github;Google Suite (Docs, Meet, etc)",0,1,0,0,0,1,0,1,0,0,0
36796,"Gitlab;Trello;Google Suite (Docs, Meet, etc)",0,0,0,0,1,0,1,1,0,0,0
36797,Github;Gitlab;Trello,0,0,0,0,1,1,1,0,0,0,0
36798,Jira;Github;Slack;Microsoft Teams,0,1,1,0,0,1,0,0,1,0,0
36799,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
36800,,0,0,0,0,0,0,0,0,0,0,0
36801,,0,0,0,0,0,0,0,0,0,0,0
36802,,0,0,0,0,0,0,0,0,0,0,0
36803,Confluence;Jira;Gitlab;Slack;Microsoft Teams;Microsoft Azure,1,1,1,1,0,0,1,0,1,0,0
36804,Github,0,0,0,0,0,1,0,0,0,0,0
36805,,0,0,0,0,0,0,0,0,0,0,0
36806,,0,0,0,0,0,0,0,0,0,0,0
36807,Slack;Trello,0,0,1,0,1,0,0,0,0,0,0
36808,"Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",0,1,1,1,1,1,1,1,1,0,0
36809,,0,0,0,0,0,0,0,0,0,0,0
36810,,0,0,0,0,0,0,0,0,0,0,0
36811,,0,0,0,0,0,0,0,0,0,0,0
36812,Github;Slack;Trello,0,0,1,0,1,1,0,0,0,0,0
36813,Slack,0,0,1,0,0,0,0,0,0,0,0
36814,"Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",0,1,0,0,1,1,1,1,0,0,0
36815,Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Stack Overflow for Teams,0,1,1,1,0,1,0,0,1,1,0
36816,"Github;Gitlab;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,0,0,0,1,1,1,1,0,1,0
36817,Jira,0,1,0,0,0,0,0,0,0,0,0
36818,,0,0,0,0,0,0,0,0,0,0,0
36819,Jira;Github;Gitlab;Facebook Workplace;Slack;Microsoft Azure;Trello,0,1,1,1,1,1,1,0,0,0,1
36820,,0,0,0,0,0,0,0,0,0,0,0
36821,,0,0,0,0,0,0,0,0,0,0,0
36822,,0,0,0,0,0,0,0,0,0,0,0
36823,Gitlab,0,0,0,0,0,0,1,0,0,0,0
36824,,0,0,0,0,0,0,0,0,0,0,0
36825,,0,0,0,0,0,0,0,0,0,0,0
36826,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
36827,,0,0,0,0,0,0,0,0,0,0,0
36828,,0,0,0,0,0,0,0,0,0,0,0
36829,,0,0,0,0,0,0,0,0,0,0,0
36830,,0,0,0,0,0,0,0,0,0,0,0
36831,,0,0,0,0,0,0,0,0,0,0,0
36832,,0,0,0,0,0,0,0,0,0,0,0
36833,Jira;Github;Gitlab;Slack,0,1,1,0,0,1,1,0,0,0,0
36834,,0,0,0,0,0,0,0,0,0,0,0
36835,"Confluence;Jira;Github;Gitlab;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",1,1,1,1,1,1,1,1,0,0,0
36836,,0,0,0,0,0,0,0,0,0,0,0
36837,"Github;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,0,0,0
36838,Jira;Github;Gitlab,0,1,0,0,0,1,1,0,0,0,0
36839,,0,0,0,0,0,0,0,0,0,0,0
36840,,0,0,0,0,0,0,0,0,0,0,0
36841,,0,0,0,0,0,0,0,0,0,0,0
36842,,0,0,0,0,0,0,0,0,0,0,0
36843,,0,0,0,0,0,0,0,0,0,0,0
36844,Confluence;Jira;Github;Gitlab,1,1,0,0,0,1,1,0,0,0,0
36845,Jira;Github;Gitlab;Slack;Microsoft Teams,0,1,1,0,0,1,1,0,1,0,0
36846,Github,0,0,0,0,0,1,0,0,0,0,0
36847,,0,0,0,0,0,0,0,0,0,0,0
36848,,0,0,0,0,0,0,0,0,0,0,0
36849,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,1,1,0,0,0
36850,,0,0,0,0,0,0,0,0,0,0,0
36851,,0,0,0,0,0,0,0,0,0,0,0
36852,Jira,0,1,0,0,0,0,0,0,0,0,0
36853,Github,0,0,0,0,0,1,0,0,0,0,0
36854,,0,0,0,0,0,0,0,0,0,0,0
36855,Confluence;Jira;Github,1,1,0,0,0,1,0,0,0,0,0
36856,"Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,0,0,1,0,0,0
36857,Github;Gitlab;Slack,0,0,1,0,0,1,1,0,0,0,0
36858,,0,0,0,0,0,0,0,0,0,0,0
36859,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
36860,Github;Gitlab;Slack;Trello,0,0,1,0,1,1,1,0,0,0,0
36861,,0,0,0,0,0,0,0,0,0,0,0
36862,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
36863,,0,0,0,0,0,0,0,0,0,0,0
36864,,0,0,0,0,0,0,0,0,0,0,0
36865,Github;Gitlab;Slack,0,0,1,0,0,1,1,0,0,0,0
36866,,0,0,0,0,0,0,0,0,0,0,0
36867,Github,0,0,0,0,0,1,0,0,0,0,0
36868,Jira;Github;Gitlab;Slack;Microsoft Teams;Trello,0,1,1,0,1,1,1,0,1,0,0
36869,"Github;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,0,0,1,0,1,0,1,0,1,0
36870,,0,0,0,0,0,0,0,0,0,0,0
36871,,0,0,0,0,0,0,0,0,0,0,0
36872,,0,0,0,0,0,0,0,0,0,0,0
36873,,0,0,0,0,0,0,0,0,0,0,0
36874,,0,0,0,0,0,0,0,0,0,0,0
36875,,0,0,0,0,0,0,0,0,0,0,0
36876,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,1,1,0,0,0
36877,,0,0,0,0,0,0,0,0,0,0,0
36878,Github;Slack;Microsoft Azure,0,0,1,1,0,1,0,0,0,0,0
36879,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,1,1,0,0,0
36880,,0,0,0,0,0,0,0,0,0,0,0
36881,,0,0,0,0,0,0,0,0,0,0,0
36882,Github;Trello,0,0,0,0,1,1,0,0,0,0,0
36883,"Jira;Gitlab;Trello;Google Suite (Docs, Meet, etc)",0,1,0,0,1,0,1,1,0,0,0
36884,,0,0,0,0,0,0,0,0,0,0,0
36885,Confluence;Jira;Github;Microsoft Azure,1,1,0,1,0,1,0,0,0,0,0
36886,,0,0,0,0,0,0,0,0,0,0,0
36887,,0,0,0,0,0,0,0,0,0,0,0
36888,Jira;Github,0,1,0,0,0,1,0,0,0,0,0
36889,,0,0,0,0,0,0,0,0,0,0,0
36890,Jira;Github;Slack,0,1,1,0,0,1,0,0,0,0,0
36891,,0,0,0,0,0,0,0,0,0,0,0
36892,"Jira;Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,1,1,1,0,0
36893,,0,0,0,0,0,0,0,0,0,0,0
36894,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,0,1,0,0,0
36895,Confluence;Jira;Github;Microsoft Teams,1,1,0,0,0,1,0,0,1,0,0
36896,,0,0,0,0,0,0,0,0,0,0,0
36897,Gitlab;Trello,0,0,0,0,1,0,1,0,0,0,0
36898,,0,0,0,0,0,0,0,0,0,0,0
36899,,0,0,0,0,0,0,0,0,0,0,0
36900,,0,0,0,0,0,0,0,0,0,0,0
36901,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
36902,,0,0,0,0,0,0,0,0,0,0,0
36903,,0,0,0,0,0,0,0,0,0,0,0
36904,,0,0,0,0,0,0,0,0,0,0,0
36905,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
36906,,0,0,0,0,0,0,0,0,0,0,0
36907,,0,0,0,0,0,0,0,0,0,0,0
36908,,0,0,0,0,0,0,0,0,0,0,0
36909,,0,0,0,0,0,0,0,0,0,0,0
36910,Github,0,0,0,0,0,1,0,0,0,0,0
36911,,0,0,0,0,0,0,0,0,0,0,0
36912,,0,0,0,0,0,0,0,0,0,0,0
36913,,0,0,0,0,0,0,0,0,0,0,0
36914,,0,0,0,0,0,0,0,0,0,0,0
36915,Slack,0,0,1,0,0,0,0,0,0,0,0
36916,,0,0,0,0,0,0,0,0,0,0,0
36917,,0,0,0,0,0,0,0,0,0,0,0
36918,,0,0,0,0,0,0,0,0,0,0,0
36919,Jira;Github;Gitlab,0,1,0,0,0,1,1,0,0,0,0
36920,Slack;Trello,0,0,1,0,1,0,0,0,0,0,0
36921,,0,0,0,0,0,0,0,0,0,0,0
36922,,0,0,0,0,0,0,0,0,0,0,0
36923,,0,0,0,0,0,0,0,0,0,0,0
36924,,0,0,0,0,0,0,0,0,0,0,0
36925,,0,0,0,0,0,0,0,0,0,0,0
36926,,0,0,0,0,0,0,0,0,0,0,0
36927,"Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,0,1,0,0,0
36928,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,1,1,0,0,0
36929,,0,0,0,0,0,0,0,0,0,0,0
36930,,0,0,0,0,0,0,0,0,0,0,0
36931,,0,0,0,0,0,0,0,0,0,0,0
36932,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,1,1,0,0,1,1,1,0,1,0
36933,,0,0,0,0,0,0,0,0,0,0,0
36934,,0,0,0,0,0,0,0,0,0,0,0
36935,,0,0,0,0,0,0,0,0,0,0,0
36936,Github,0,0,0,0,0,1,0,0,0,0,0
36937,,0,0,0,0,0,0,0,0,0,0,0
36938,,0,0,0,0,0,0,0,0,0,0,0
36939,,0,0,0,0,0,0,0,0,0,0,0
36940,Github,0,0,0,0,0,1,0,0,0,0,0
36941,"Github;Slack;Google Suite (Docs, Meet, etc)",0,0,1,0,0,1,0,1,0,0,0
36942,,0,0,0,0,0,0,0,0,0,0,0
36943,,0,0,0,0,0,0,0,0,0,0,0
36944,,0,0,0,0,0,0,0,0,0,0,0
36945,,0,0,0,0,0,0,0,0,0,0,0
36946,,0,0,0,0,0,0,0,0,0,0,0
36947,,0,0,0,0,0,0,0,0,0,0,0
36948,Jira;Github;Gitlab;Slack,0,1,1,0,0,1,1,0,0,0,0
36949,,0,0,0,0,0,0,0,0,0,0,0
36950,,0,0,0,0,0,0,0,0,0,0,0
36951,,0,0,0,0,0,0,0,0,0,0,0
36952,,0,0,0,0,0,0,0,0,0,0,0
36953,Jira;Github;Slack;Stack Overflow for Teams,0,1,1,0,0,1,0,0,0,1,0
36954,,0,0,0,0,0,0,0,0,0,0,0
36955,,0,0,0,0,0,0,0,0,0,0,0
36956,,0,0,0,0,0,0,0,0,0,0,0
36957,,0,0,0,0,0,0,0,0,0,0,0
36958,Github;Gitlab;Facebook Workplace,0,0,0,0,0,1,1,0,0,0,1
36959,,0,0,0,0,0,0,0,0,0,0,0
36960,Github,0,0,0,0,0,1,0,0,0,0,0
36961,,0,0,0,0,0,0,0,0,0,0,0
36962,,0,0,0,0,0,0,0,0,0,0,0
36963,Jira;Github;Gitlab;Slack;Trello,0,1,1,0,1,1,1,0,0,0,0
36964,,0,0,0,0,0,0,0,0,0,0,0
36965,,0,0,0,0,0,0,0,0,0,0,0
36966,,0,0,0,0,0,0,0,0,0,0,0
36967,,0,0,0,0,0,0,0,0,0,0,0
36968,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
36969,"Github;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,0,1,0,0,1,0,1,0,1,0
36970,,0,0,0,0,0,0,0,0,0,0,0
36971,,0,0,0,0,0,0,0,0,0,0,0
36972,,0,0,0,0,0,0,0,0,0,0,0
36973,,0,0,0,0,0,0,0,0,0,0,0
36974,Gitlab,0,0,0,0,0,0,1,0,0,0,0
36975,Github;Microsoft Teams;Microsoft Azure,0,0,0,1,0,1,0,0,1,0,0
36976,,0,0,0,0,0,0,0,0,0,0,0
36977,,0,0,0,0,0,0,0,0,0,0,0
36978,Github;Microsoft Teams,0,0,0,0,0,1,0,0,1,0,0
36979,"Github;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,0,1,0,0,1,0,1,0,1,0
36980,Github,0,0,0,0,0,1,0,0,0,0,0
36981,,0,0,0,0,0,0,0,0,0,0,0
36982,Confluence;Jira;Github;Gitlab,1,1,0,0,0,1,1,0,0,0,0
36983,,0,0,0,0,0,0,0,0,0,0,0
36984,,0,0,0,0,0,0,0,0,0,0,0
36985,,0,0,0,0,0,0,0,0,0,0,0
36986,Jira;Github;Slack,0,1,1,0,0,1,0,0,0,0,0
36987,,0,0,0,0,0,0,0,0,0,0,0
36988,,0,0,0,0,0,0,0,0,0,0,0
36989,"Github;Microsoft Teams;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,0,1,1,0,0
36990,,0,0,0,0,0,0,0,0,0,0,0
36991,Github,0,0,0,0,0,1,0,0,0,0,0
36992,Github,0,0,0,0,0,1,0,0,0,0,0
36993,,0,0,0,0,0,0,0,0,0,0,0
36994,,0,0,0,0,0,0,0,0,0,0,0
36995,,0,0,0,0,0,0,0,0,0,0,0
36996,,0,0,0,0,0,0,0,0,0,0,0
36997,,0,0,0,0,0,0,0,0,0,0,0
36998,,0,0,0,0,0,0,0,0,0,0,0
36999,,0,0,0,0,0,0,0,0,0,0,0
37000,,0,0,0,0,0,0,0,0,0,0,0
37001,,0,0,0,0,0,0,0,0,0,0,0
37002,,0,0,0,0,0,0,0,0,0,0,0
37003,"Confluence;Jira;Github;Gitlab;Facebook Workplace;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,1,1,0,0,1
37004,,0,0,0,0,0,0,0,0,0,0,0
37005,Jira;Github;Microsoft Teams,0,1,0,0,0,1,0,0,1,0,0
37006,,0,0,0,0,0,0,0,0,0,0,0
37007,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
37008,,0,0,0,0,0,0,0,0,0,0,0
37009,Confluence;Jira;Github;Slack;Trello,1,1,1,0,1,1,0,0,0,0,0
37010,,0,0,0,0,0,0,0,0,0,0,0
37011,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,1,1,0,0,0
37012,,0,0,0,0,0,0,0,0,0,0,0
37013,,0,0,0,0,0,0,0,0,0,0,0
