,NEWCollabToolsWorkedWith,Confluence,Jira,Slack,Microsoft Azure,Trello,Github,Gitlab,"Google Suite (Docs, Meet, etc)",Microsoft Teams,Stack Overflow for Teams,Facebook Workplace
88,"Confluence;Jira;Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",1,1,1,1,1,1,0,1,0,0,0
89,,0,0,0,0,0,0,0,0,0,0,0
90,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,1,1,0,0,0
91,"Github;Gitlab;Google Suite (Docs, Meet, etc)",0,0,0,0,0,1,1,1,0,0,0
92,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
93,,0,0,0,0,0,0,0,0,0,0,0
94,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
95,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Trello,1,1,1,0,1,1,1,0,1,0,0
96,Microsoft Teams,0,0,0,0,0,0,0,0,1,0,0
97,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
98,"Jira;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",0,1,0,1,0,0,0,1,1,0,0
99,Github;Trello,0,0,0,0,1,1,0,0,0,0,0
100,Confluence;Jira;Github;Gitlab;Slack;Trello,1,1,1,0,1,1,1,0,0,0,0
101,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
102,Github;Gitlab;Slack;Trello,0,0,1,0,1,1,1,0,0,0,0
103,Confluence;Jira;Slack;Microsoft Teams;Microsoft Azure,1,1,1,1,0,0,0,0,1,0,0
104,Github,0,0,0,0,0,1,0,0,0,0,0
105,Jira;Github;Slack,0,1,1,0,0,1,0,0,0,0,0
106,,0,0,0,0,0,0,0,0,0,0,0
107,"Github;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",0,0,0,0,1,1,0,1,1,0,0
108,Confluence;Jira;Github;Slack;Microsoft Azure,1,1,1,1,0,1,0,0,0,0,0
109,"Github;Slack;Google Suite (Docs, Meet, etc)",0,0,1,0,0,1,0,1,0,0,0
110,"Google Suite (Docs, Meet, etc)",0,0,0,0,0,0,0,1,0,0,0
111,Confluence;Jira;Github;Microsoft Teams,1,1,0,0,0,1,0,0,1,0,0
112,,0,0,0,0,0,0,0,0,0,0,0
113,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
114,"Jira;Github;Microsoft Teams;Google Suite (Docs, Meet, etc)",0,1,0,0,0,1,0,1,1,0,0
115,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",1,1,1,0,0,1,0,1,0,1,0
116,"Github;Microsoft Teams;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,0,0,0,0,1,0,1,1,1,0
117,"Confluence;Jira;Github;Gitlab;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",1,1,0,1,1,1,1,1,0,0,0
118,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,1,1,0,0,0
119,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,1,1,0,0,0
120,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,1,1,0,1,1,1,1,0,1,0
121,"Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,1,1,1,0,0
122,,0,0,0,0,0,0,0,0,0,0,0
123,Jira,0,1,0,0,0,0,0,0,0,0,0
124,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
125,,0,0,0,0,0,0,0,0,0,0,0
126,"Slack;Microsoft Azure;Google Suite (Docs, Meet, etc)",0,0,1,1,0,0,0,1,0,0,0
127,Confluence;Jira;Github;Slack;Microsoft Teams;Trello;Stack Overflow for Teams,1,1,1,0,1,1,0,0,1,1,0
128,Microsoft Teams,0,0,0,0,0,0,0,0,1,0,0
129,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
130,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",0,1,1,0,0,1,1,1,0,0,0
131,"Github;Gitlab;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,1,1,1,0,0
132,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,0,1,0,0,0
133,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
134,Github,0,0,0,0,0,1,0,0,0,0,0
135,,0,0,0,0,0,0,0,0,0,0,0
136,Slack;Microsoft Azure;Trello,0,0,1,1,1,0,0,0,0,0,0
137,"Jira;Github;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,0,1,1,0,0
138,Confluence;Jira;Microsoft Teams,1,1,0,0,0,0,0,0,1,0,0
139,Github;Slack;Stack Overflow for Teams,0,0,1,0,0,1,0,0,0,1,0
140,"Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",0,0,0,1,0,0,0,1,1,0,0
141,Confluence;Jira;Github;Slack;Microsoft Teams,1,1,1,0,0,1,0,0,1,0,0
142,"Gitlab;Slack;Google Suite (Docs, Meet, etc)",0,0,1,0,0,0,1,1,0,0,0
143,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
144,Confluence;Jira;Github;Slack;Microsoft Teams;Microsoft Azure,1,1,1,1,0,1,0,0,1,0,0
145,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
146,Github;Slack;Trello,0,0,1,0,1,1,0,0,0,0,0
147,"Confluence;Jira;Github;Google Suite (Docs, Meet, etc)",1,1,0,0,0,1,0,1,0,0,0
148,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
149,"Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",0,1,0,0,1,1,1,1,0,0,0
