,MiscTechWorkedWith,.NET,.NET Core,React Native,Ansible,Pandas,Node.js,Unity 3D,TensorFlow,Torch/PyTorch,Teraform,Unreal Engine,Hadoop,Flutter,Cordova,Xamarin,Keras,Chef,Apache Spark,Puppet
150,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Ansible;Cordova;Node.js;Puppet,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
154,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Ansible;React Native;TensorFlow,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Ansible;Puppet;TensorFlow;Unity 3D,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
159,.NET;Node.js;Puppet;React Native;Unreal Engine,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
160,Ansible;Node.js,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Apache Spark;Unity 3D,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
163,Unity 3D,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
164,Pandas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Cordova;Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
166,React Native,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
