,WebframeWorkedWith,ASP.NET,ASP.NET Core,Ruby on Rails,Flask,jQuery,Angular,Angular.js,Django,React.js,Vue.js,Gatsby,Spring,Express,Symfony,Laravel,Drupal
153,Angular;Angular.js;Drupal;jQuery;Laravel;React.js;Symfony;Vue.js,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1
154,Express;React.js,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
155,Angular,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
156,React.js;Ruby on Rails,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
157,ASP.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Django;Flask;jQuery;React.js,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
159,Angular;Django;jQuery;React.js,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
160,Angular;Drupal;jQuery,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
161,Angular;ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
162,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,Angular.js;Vue.js,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
164,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Angular;Angular.js;jQuery;Laravel,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
166,Gatsby;jQuery;React.js,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
167,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Django;Express;Flask;jQuery;React.js,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
169,Angular;ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
170,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,ASP.NET;ASP.NET Core;jQuery;Laravel;Vue.js,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
172,ASP.NET;ASP.NET Core;Flask,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
173,Django;Flask;jQuery;React.js,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
174,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,ASP.NET;ASP.NET Core;jQuery;React.js,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
177,Angular;Angular.js;ASP.NET;ASP.NET Core;Express;Gatsby;jQuery;React.js,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0
178,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180,Angular;Angular.js;Express,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
181,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
182,Gatsby;React.js,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
183,Angular;ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
184,Express,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185,Django;Flask,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
186,ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,Angular;Angular.js;jQuery;Spring,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
188,React.js,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
189,Angular.js;Django;Flask;jQuery;Laravel;React.js,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0
190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Flask;Spring,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
193,Ruby on Rails;Vue.js,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
194,Angular;Angular.js;ASP.NET;ASP.NET Core,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
195,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,ASP.NET;Django,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
198,ASP.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Angular;Angular.js;Express;jQuery;Spring,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,ASP.NET Core;jQuery;Laravel;Symfony,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
202,Spring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
203,ASP.NET;ASP.NET Core;React.js,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,Express;jQuery,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
205,jQuery;Ruby on Rails;Vue.js,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
206,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,ASP.NET;jQuery,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
208,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Django;Flask,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
210,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Angular;Angular.js;Django;Drupal;Express;Flask;jQuery;Laravel;React.js;Ruby on Rails;Spring;Symfony;Vue.js,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
212,ASP.NET;ASP.NET Core;jQuery;Vue.js,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
213,Angular;Angular.js;React.js,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
214,Angular;Angular.js;Express;Flask;Vue.js,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
215,ASP.NET;jQuery;Spring,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
216,Express;Flask;React.js;Spring,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
217,Ruby on Rails,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
218,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,ASP.NET;Django;Express;Vue.js,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
220,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
221,ASP.NET Core;React.js;Vue.js,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
222,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
224,Express;React.js,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
225,Flask;Spring,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
226,Express;React.js,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
227,Angular;Angular.js;Express;Flask;Gatsby;React.js;Spring;Vue.js,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0
228,Vue.js,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
229,Angular;Angular.js;Drupal;jQuery;Laravel;Symfony,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
230,Flask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
231,Angular;Angular.js;ASP.NET;ASP.NET Core;Express;jQuery;React.js,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0
232,Angular;Angular.js;Django;Flask;jQuery,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
233,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Angular;Angular.js;Django;Express;jQuery,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
235,ASP.NET;ASP.NET Core;React.js;Spring,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
236,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
237,Express;Vue.js,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
238,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,React.js;Ruby on Rails,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
241,Angular;Gatsby,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
242,jQuery;Symfony,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
243,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Angular;React.js,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
