,username,comment_created_utc,comment_score,comment_text
30,theevilsharpie,1590701392.0,5.0,"> Totally unrelated comment, but you're bringing up the pay difference between SRE and sysadmin. What's the core difference between the two, to justify such a large pay gap?

SREs typically develop and support production infrastructure for some type of engineering-related organization, whereas System Administrator has essentially come to mean some type of office IT support. There is some overlap in skills (particularly for Linux sysadmins), but the worlds are very different, and you can see this for yourself if you compare /r/sysadmin and /r/devops for a while.

The pay for SREs is probably a bit inflated in the surveys, because there are environmental variables affecting pay that work in SRE's favor (SREs will tend to cluster in established tech companies or later stage startups that can afford to pay higher salaries, since smaller startups can use a managed service and/or task a dev with the Ops work). However, the pay gap is real, and is largely due to office IT not being that valuable."
31,uptimefordays,1590678192.0,2.0,"I'll admit I'm probably alone here, but I feel like Ruby is a lot closer to Python than it is to Perl. Ruby just offers more syntactic sugar--especially with regex."
32,uptimefordays,1590688731.0,1.0,There are dozens of Rubyists who've never used Rails! Dozens!
33,ndarwincorn,1590677233.0,3.0,"From  my view on the frontlines, AWS straddles both bullets. It's the largest single license purchaser of Windows/SQL Server for a reason.

If you look at the history of the platforms, GCP's the only one of the three that really pushed 'cloud-native' principles from day 1 (their first service was app engine--a platform that abstracts away underlying compute vs. AWS's first service being EC2--a platform that abstracts away the hypervisor). It's probably a significant contributor to them being an afterthought for folks. It's a lot easier for a cloud-naive dev/technical founder to just shit their code onto some bespoke EC2 VM than it is to trust some 'app engine' black magic."
34,commandsupernova,1590761839.0,1.0,"Wow, thanks for sharing this insight! Very interesting points. It's sort of cementing for me that Azure is more of the ""corporate"" cloud platform and Azure/GCP are more popular for cloud native apps, with exceptions of course.

&#x200B;

>Bundling your application layer (Windows, SQL, whatevers) with your infra layer presents synergies, yes, but it also limits your negotiating power down the line when the teaser rates get removed 

Ooh yes, vendor lock in is a scary thing!"
35,ndarwincorn,1590677862.0,2.0,As you should be.
36,syshum,1590689386.0,3.0,One of the other motivations from what I see is that Powershell is first class on Azure.  This works well with Onprem Automation Tooling as well
37,commandsupernova,1590761703.0,1.0,"I've been working in IT, all corporate environments, for the mere five years of my career. I've seen IT as more of a business support than the product itself, and with that, I have yet to see management really push for automation. 

It's been something I push for and implement as much as possible but some people still seem OK with doing things the way they've been doing them for the last 10 years.

Hopefully by focusing on automation and improvement I can continue to maintain and advance my role and let those who are fine with stagnating do their own thing."
38,commandsupernova,1594728676.0,1.0,"Interesting, I didn't realize Percona had their own fork of MySQL. I heard good things about Percona's backup software for MariaDB but was able to complete my simple project using mysqldump for database backups."
39,meminemy,1590676862.0,2.0,Maybe also because of the legendary obfuscation. /s
40,,1590701619.0,1.0,"I use Ansible alot. But I wanted to learn a master/slave tool. I felt I was at the level I would start writing custom Ansible modules and feel puppet/bolt would be better for that.

Edit: you know what, I like puppet and bolt."
41,sobrique,1590678382.0,2.0,Oh I know the feeling - I'm a big fan of perl :)
42,pdp10,1590686704.0,1.0,I thought AWS's first service was SQS?
43,sobrique,1590677018.0,1.0,I've seen 'bad' code in a load of languages. That's far from unique to perl.
44,beardless_unix,1590707689.0,3.0,"Puppet/bolt is better in my limited opinion for custom modules.  PuppetDB is a great asset as well.  For the reasons you gave I think you made a good choice.  

Puppet+Bolt is a great platform for us.  Bolt makes the down-side of agent based cfg management go away.  Terraform to provision the infrastructure, bolt deploys and does the first puppet applies we need then the agent runs continuously to keep the configuration in spec(when we aren't just blue+green blowing things away).

I really like Puppet too and most of the time people say they don't like it vs Ansible it comes down to ""Ansible is easy"" and ""Puppet is arcane"".  Both are true statements IMO.  And something having a lower barrier to entry is actually a Pro in its favor.  Puppet deserves a chance because there are certain things it does really well.

- It won't do anything unless it can compile the whole catalog without issue(won't deploy half your code and then fail).
- Puppet iterators and conditionals work more like traditional C style languages(Ruby in this case) and that works better for me.
- Puppet works most like a traditional programming language while still being declarative.  
- PuppetDB is super useful.

Either is a fine tool - but I fear Ansible is going to take over so much that Puppet dwindles away.  We'll see.  Nobody should be married to any technology tool because they come and go as fast as the wind."
45,uptimefordays,1590679216.0,1.0,Still using perl for new stuff?
46,_dismal_scientist,1590694231.0,1.0,Python has completely replaced it in my world
47,ndarwincorn,1590690563.0,3.0,"Yeah you're right. Though at official launch EC2 was one of the three services.

More accurate to say that its first compute offering was basically a managed hypervisor, whereas google's was a managed image builder & container engine, and that the two companies have been mostly opposite sides of that coin as they added features (i.e. google's managed hypervisor didn't come until 4 years after GAE, and AWS added a managed image builder & container engine 5 years after EC2).

The whole point being that 'cloud-native' software in their comment was a stretch, assuming we're talking about how the CNCF has come to define the architecture. Nothing about managing your own EC2 VM is cloud-native."
48,meminemy,1590677320.0,1.0,"Of course, I was rather talking about this: https://en.wikipedia.org/wiki/Obfuscated_Perl_Contest"
49,sobrique,1590679274.0,0.0,Yup. It's as good as it ever was for the sysadmin toolbox.
50,sobrique,1590677367.0,1.0,"Oh sure. But C has one of those too as I recall :). 

And I know perl lets you get away with some nasty habits, but ..."
51,uptimefordays,1590679435.0,2.0,Even as it becomes less common compared to say Python or Ruby?
52,meminemy,1590677433.0,1.0,"Yes, and it is still active: https://en.wikipedia.org/wiki/International_Obfuscated_C_Code_Contest"
53,sobrique,1590679624.0,5.0,"Python's taking over, but I just ... well, I just don't _like_ the syntactically significant whitespace thing, or the dependency on an IDE. (Because if you want to create a 'loop' you have to indent a whole block at once, that kind of thing). 

I daresay I'll end up doing mostly Python eventually, but I'm going to hold on to Perl as long as I can.

Ruby doesn't seem to get much of a look in."
54,uptimefordays,1590679793.0,2.0,Yeah Python definitely seems like the future. Though Chef’s Ruby based DSL should hopefully keep it relevant for sysadmins. Can’t imagine many places tearing out Chef for Ansible just because Ansible is the hot new thang.
55,Not_Pelle,1590734666.0,1.0,Why do you need an IDE for Python? I've always written Python in editors like Vim. IDEs just really annoy me.
56,,1590697137.0,1.0,[deleted]
57,sobrique,1590735151.0,1.0,"Ever needed to wrap a block in a loop, and needed to indent about 8 lines at once? 

Perl I just stick the loop in and perltidy to reformat."
58,uptimefordays,1590697767.0,1.0,">Do people really think this? It's been stable for eight years.

By that logic Chef has been around 11 and Puppet 9. Ansible only overtook Chef in terms of market share what last year? I'm not disputing Ansible's considerable and still growing popularity, I'm wondering how many organizations already using a mature CM system are switching."
59,Not_Pelle,1590735711.0,1.0,I just do that by selecting those lines and pressing Ctrl+]  in most graphical editors or with [amount of lines] > > in Vim.
