uid,challenge,effort,grade,location,resp_time
u18,1.0,1.0,1.0,"43.70623193,-72.28691743",2013-04-26 01:40:31
u19,2.0,1.0,1.0,"43.70677529,-72.2870866",2013-04-27 19:14:37
u19,2.0,1.0,1.0,"43.70101204,-72.28677708",2013-05-01 01:43:54
u19,2.0,2.0,1.0,"43.70680418,-72.28601166",2013-05-10 20:31:39
u19,2.0,2.0,1.0,"43.70705362,-72.28594706",2013-05-04 02:48:16
u19,2.0,2.0,1.0,"43.70650157,-72.28532126",2013-05-14 08:14:18
u22,3.0,2.0,1.0,Unknown,2013-05-05 22:45:32
u32,2.0,2.0,1.0,"43.70608389,-72.29104393",2013-04-26 04:19:23
u32,2.0,1.0,1.0,"43.47216071,-71.99885894",2013-04-30 23:23:56
u33,1.0,1.0,2.0,"43.70254396,-72.29281415",2013-05-12 01:57:30
u35,2.0,1.0,1.0,"43.70462528,-72.30440054",2013-04-30 23:22:19
u36,1.0,1.0,1.0,"43.70677854,-72.28709614",2013-04-30 23:04:48
u36,1.0,1.0,1.0,"43.7066887,-72.28708942",2013-05-01 23:43:24
u36,2.0,1.0,1.0,"43.70657406,-72.28706766",2013-05-05 22:12:08
u39,1.0,1.0,1.0,"43.70691563,-72.28615388",2013-04-25 20:32:13
u42,1.0,2.0,3.0,"43.6586341,-72.24888811",2013-05-02 00:34:33
u42,1.0,2.0,3.0,"43.70682003,-72.28641301",2013-05-02 23:33:34
u42,3.0,1.0,3.0,"43.70372066,-72.28927093",2013-05-06 23:13:08
u43,1.0,2.0,1.0,"43.70684508,-72.28713045",2013-04-30 23:07:34
u43,1.0,1.0,1.0,"43.70566888,-72.29157338",2013-05-02 00:11:31
u44,2.0,1.0,1.0,"43.69221585,-72.26709452",2013-04-25 16:29:22
u44,2.0,1.0,1.0,"43.70747184,-72.2873165",2013-05-05 22:41:29
u46,1.0,1.0,1.0,"43.70525386,-72.29094429",2013-04-26 19:17:06
u46,2.0,1.0,1.0,Unknown,2013-04-30 23:05:30
u47,2.0,1.0,1.0,"43.68150655645877,-72.32182986102998",2013-04-27 19:15:03
u47,3.0,2.0,1.0,Unknown,2013-05-04 00:15:29
u49,1.0,1.0,1.0,"43.707123623543964,-72.29069780241105",2013-04-27 19:36:02
u49,1.0,1.0,1.0,Unknown,2013-05-01 23:23:39
u49,1.0,1.0,1.0,"43.707151418494384,-72.29058943316315",2013-05-02 23:00:27
u49,1.0,1.0,1.0,Unknown,2013-05-05 22:03:26
u49,1.0,1.0,1.0,Unknown,2013-05-05 22:03:28
u49,1.0,1.0,1.0,Unknown,2013-05-05 22:03:27
u49,3.0,3.0,1.0,"43.70712961272113,-72.29074071996821",2013-05-10 07:58:19
u49,3.0,1.0,1.0,"43.70600375009001,-72.28871367120003",2013-05-17 22:15:18
u49,2.0,1.0,1.0,"43.70706086014926,-72.29065677866436",2013-05-24 06:28:40
u51,6.0,6.0,1.0,"43.70210845,-72.28762862",2013-04-27 19:49:35
u51,6.0,1.0,1.0,"43.69920201,-72.28970451",2013-04-28 19:28:40
u53,1.0,1.0,4.0,"43.70600018,-72.28919438",2013-04-26 20:30:51
u53,1.0,1.0,4.0,"43.70551541,-72.28331258",2013-04-30 23:23:02
u53,1.0,1.0,4.0,"43.70559988,-72.28313601",2013-05-01 23:00:16
u54,3.0,3.0,1.0,"43.70499216,-72.2946349",2013-05-02 01:26:03
u56,1.0,1.0,1.0,"43.71686557,-72.30908124",2013-04-26 19:40:54
u56,1.0,1.0,1.0,"43.71666435,-72.30919789",2013-05-01 01:27:44
u56,1.0,1.0,1.0,"43.7163913,-72.30921545",2013-05-01 23:18:56
u57,1.0,1.0,2.0,"43.70720262,-72.28922503",2013-04-26 17:27:56
u57,1.0,1.0,1.0,"43.7062638,-72.28687205",2013-05-01 00:19:14
u57,2.0,2.0,1.0,"43.70695155,-72.28900175",2013-05-02 23:40:50
u57,3.0,2.0,1.0,"43.70698232,-72.28907025",2013-05-05 22:01:02
u58,3.0,1.0,1.0,"43.70607202,-72.28334181",2013-04-26 20:35:55
