uid,resp_time,course_id,due,experience,hours,location
u07,2013-04-18 23:37:59,cs 77,1.0,4.0,7.0,"43.70366889,-72.28404405"
u07,2013-04-15 23:54:40,cs60,1.0,2.0,12.0,"43.70846713,-72.28425547"
u07,2013-04-18 23:37:58,cs 65,2.0,3.0,2.0,"43.70366889,-72.28404405"
u07,2013-04-18 00:29:47,cs 60,2.0,2.0,3.0,"43.70416614,-72.28370053"
u07,2013-04-18 00:30:05,cs65,2.0,3.0,3.0,"43.70412254,-72.28381654"
u07,2013-04-19 19:00:46,cs 65,2.0,3.0,1.0,"43.70375498,-72.28370087"
u07,2013-04-20 06:49:10,cs 60,2.0,3.0,5.0,"43.70413027,-72.28378295"
u07,2013-04-23 21:29:27,cs 65,1.0,1.0,9.0,"43.70425769,-72.28391582"
u07,2013-04-23 21:29:45,cs 65,1.0,3.0,11.0,"43.70425769,-72.28391582"
u07,2013-04-23 23:58:01,cs77,2.0,1.0,2.0,"43.70425769,-72.28391582"
u08,2013-03-27 03:15:09,rel 038,1.0,2.0,1.0,Unknown
u08,2013-03-27 03:15:28,chin 62,2.0,2.0,1.0,Unknown
u08,2013-03-28 21:19:05,cs 65,2.0,3.0,1.0,"43.70582719,-72.28937924"
u08,2013-03-27 21:08:26,cs 89,2.0,1.0,1.0,"43.70227295,-72.28989198"
u08,2013-03-27 21:08:13,cs 65,2.0,3.0,1.0,"43.70227295,-72.28989198"
u08,2013-03-29 00:09:56,chin 62,2.0,1.0,2.0,"43.70582719,-72.28937924"
u08,2013-03-29 21:05:05,cs89,2.0,1.0,1.0,"43.70350954,-72.28608081"
u08,2013-03-29 21:04:57,cs65,2.0,1.0,1.0,"43.70350954,-72.28608081"
u08,2013-04-03 20:20:55,cs89,2.0,1.0,1.0,"43.70644629,-72.28641042"
u08,2013-04-03 02:31:12,chin 62,2.0,3.0,1.0,"43.70237031,-72.28787598"
u08,2013-03-31 00:06:58,no class today,2.0,1.0,1.0,"43.70350954,-72.28608081"
u08,2013-04-01 00:05:09,no class,2.0,1.0,1.0,"43.70316589,-72.2862713"
u08,2013-04-03 03:26:04,cs65 section,2.0,1.0,1.0,"43.70237031,-72.28787598"
u08,2013-04-02 22:13:09,cs 50 ta,2.0,1.0,3.0,"43.7029938,-72.28634884"
u08,2013-04-01 20:29:22,cs 89,2.0,3.0,1.0,"43.70516598,-72.29089148"
u08,2013-04-01 20:29:41,cs 65,2.0,3.0,1.0,"43.70538133,-72.29099059"
u08,2013-04-03 20:20:45,cs65,2.0,3.0,2.0,"43.70644629,-72.28641042"
u08,2013-04-05 02:11:47,chin 62,2.0,1.0,1.0,"43.70342734,-72.28638739"
u08,2013-04-06 01:33:33,cs 65,2.0,3.0,2.0,"43.70410077,-72.28719868"
u08,2013-04-06 01:33:48,cs 89,2.0,1.0,1.0,"43.70410077,-72.28719868"
u08,2013-04-09 09:35:26,cs 89,2.0,1.0,5.0,"43.70364811,-72.28649081"
u08,2013-04-09 09:35:11,cs 65,1.0,1.0,5.0,"43.70364811,-72.28649081"
u08,2013-04-10 19:15:57,cs65,2.0,1.0,1.0,"43.70370174,-72.28680811"
u08,2013-04-10 10:33:26,chin 62,1.0,1.0,4.0,"43.70731779,-72.2868045"
u08,2013-04-11 03:37:41,cs 89,2.0,1.0,4.0,"43.70370174,-72.28680811"
u08,2013-04-11 03:37:42,cs 65,2.0,1.0,2.0,"43.70370174,-72.28680811"
u08,2013-04-12 02:20:01,chin 62,2.0,1.0,2.0,"43.70314121,-72.28659035"
u08,2013-04-13 01:56:48,cs 89,1.0,1.0,6.0,"43.70385469,-72.28643647"
u08,2013-04-13 01:56:37,cs 65,2.0,1.0,1.0,"43.70385469,-72.28643647"
u08,2013-04-16 04:12:27,cs 89,2.0,1.0,1.0,"43.70396504,-72.28927469"
u08,2013-04-17 01:56:03,chin 62,1.0,1.0,1.0,"43.70341363,-72.2866024"
u08,2013-04-18 06:05:32,cs 89,2.0,1.0,5.0,"43.70430223,-72.29046297"
u08,2013-04-18 06:05:21,cs 65,2.0,1.0,1.0,"43.70430223,-72.29046297"
u08,2013-04-19 02:04:43,cs 65,2.0,1.0,1.0,"43.70566291,-72.2881436"
u08,2013-04-19 02:04:51,chin 62,2.0,1.0,4.0,"43.70566291,-72.2881436"
u08,2013-04-26 07:14:36,chin 062,2.0,3.0,1.0,"43.70277439,-72.28880163"
u08,2013-04-23 06:28:49,cs 89,1.0,1.0,12.0,"43.7052687,-72.28811786"
u08,2013-04-23 06:28:34,cs 65,1.0,3.0,12.0,"43.7052687,-72.28811786"
u08,2013-04-27 00:29:21,cs 65,2.0,1.0,4.0,"43.70295661,-72.28995533"
u08,2013-04-27 00:29:36,cs 89,2.0,4.0,1.0,"43.70295661,-72.28995533"
u08,2013-05-01 21:57:14,cs 89,2.0,1.0,1.0,"43.70708811,-72.28767562"
u08,2013-05-01 09:16:13,chin 62,1.0,3.0,4.0,"43.70708811,-72.28767562"
u08,2013-05-07 03:51:11,cs 89,2.0,1.0,1.0,"43.7049437,-72.28880281"
u08,2013-05-05 09:19:12,cs 89,2.0,5.0,1.0,"43.7037094,-72.28660102"
u08,2013-05-23 13:38:38,cs 89,1.0,5.0,12.0,"43.70447785,-72.29155849"
u09,2013-03-28 01:32:23,CS65,2.0,1.0,1.0,"43.70687224,-72.28858677"
u09,2013-03-29 00:36:23,CS65,2.0,3.0,2.0,"43.70741873,-72.28632201"
u09,2013-03-30 03:32:45,JAPN61,1.0,3.0,5.0,"43.70688362,-72.28814599"
u10,2013-03-30 02:07:47,cs65,2.0,1.0,3.0,"43.70645395,-72.28818327"
u10,2013-03-30 02:07:50,cs50,2.0,3.0,2.0,"43.70644884,-72.28820168"
u10,2013-04-02 01:43:35,cs50,2.0,3.0,4.0,"43.70710471,-72.28730696"
u10,2013-03-27 19:11:23,cs65,2.0,3.0,2.0,"43.70582994,-72.28763412"
u10,2013-03-30 02:07:45,cs 65,2.0,1.0,5.0,"43.70647211,-72.28802604"
u10,2013-03-31 01:38:16,bio4,2.0,3.0,3.0,"43.70312458,-72.28787646"
u10,2013-04-01 03:13:17,cs65,2.0,3.0,6.0,"43.70243257,-72.28772434"
u10,2013-04-01 19:12:15,cs65,2.0,1.0,4.0,"43.70710471,-72.28730696"
u10,2013-04-03 00:01:47,bio4,2.0,3.0,2.0,"43.70679334,-72.28767766"
u10,2013-04-03 23:03:42,cs65,2.0,4.0,2.0,"43.70613435,-72.28844824"
u10,2013-04-04 02:07:09,cs50,2.0,3.0,7.0,"43.70168352,-72.28807511"
u10,2013-04-04 22:26:08,cs65,2.0,3.0,2.0,"43.70785919,-72.28512608"
u10,2013-04-05 01:30:51,bio4,2.0,1.0,3.0,"43.70173422,-72.28775943"
u10,2013-04-05 22:31:06,cs50,2.0,1.0,6.0,"43.70173422,-72.28775943"
u10,2013-04-09 00:49:50,cs65,1.0,3.0,4.0,"43.70238375,-72.28772441"
u10,2013-04-09 02:15:29,cs50,2.0,3.0,4.0,"43.70278942,-72.28658418"
u10,2013-04-10 00:33:07,bio4,2.0,5.0,1.0,"43.70278942,-72.28658418"
u10,2013-04-16 06:18:08,cs65,1.0,2.0,1.0,"43.7050225,-72.28939767"
u10,2013-04-16 06:18:37,cs50,2.0,3.0,7.0,"43.7050225,-72.28939767"
u10,2013-04-11 00:58:52,cs65,2.0,1.0,3.0,"43.70278942,-72.28658418"
u10,2013-04-11 05:09:26,cs50,2.0,3.0,6.0,"43.70278942,-72.28658418"
u10,2013-04-12 00:23:12,bio4,2.0,4.0,3.0,"43.70278942,-72.28658418"
u10,2013-04-13 06:21:38,cs50,2.0,4.0,6.0,"43.70278942,-72.28658418"
u10,2013-04-13 02:15:08,cs65,2.0,3.0,4.0,"43.70278942,-72.28658418"
u10,2013-04-14 00:05:52,cs50,2.0,1.0,6.0,"43.70278942,-72.28658418"
