uid,how,location,resp_time
u51,1.0,Unknown,2013-05-12 21:30:26
u51,2.0,"43.70636234,-72.28679273",2013-05-14 00:02:56
u51,3.0,"43.70683711,-72.28723903",2013-05-21 00:08:07
u51,2.0,"43.70580786,-72.28778398",2013-05-31 00:46:34
u51,2.0,"43.70738663,-72.28550615",2013-05-30 00:26:10
u52,2.0,"43.70728008333333,-72.2892484",2013-04-26 22:38:01
u52,1.0,"43.70425155,-72.29039568333333",2013-05-04 23:37:39
u52,1.0,"43.707672716666664,-72.28611655",2013-05-22 00:00:44
u53,1.0,"43.72386214,-72.31533904",2013-04-28 08:07:38
u53,1.0,"43.70554966,-72.28302358",2013-05-03 02:37:54
u53,1.0,"43.70705195,-72.28597654",2013-05-07 22:05:56
u53,1.0,"43.70688156,-72.28749658",2013-05-06 22:00:10
u53,3.0,"43.70547131,-72.28304418",2013-05-15 01:51:10
u53,2.0,"43.70558751,-72.28336246",2013-05-10 00:18:17
u53,3.0,"43.70559534,-72.28313851",2013-05-14 00:01:06
u53,3.0,"43.70551136,-72.28316719",2013-05-11 01:25:07
u53,2.0,"43.70537202,-72.28297073",2013-05-12 00:10:05
u53,3.0,"43.70542341,-72.28319396",2013-05-21 00:06:54
u53,2.0,"43.70416071,-72.28306081",2013-05-26 00:25:01
u53,2.0,"43.70535792,-72.28322749",2013-05-28 00:37:13
u56,1.0,"43.01438705,-72.34856028",2013-04-27 22:23:42
u56,2.0,"43.70737172,-72.28925232",2013-05-10 23:22:08
u56,2.0,"43.71336539,-72.30832135",2013-05-15 00:57:00
u56,3.0,Unknown,2013-05-20 00:08:23
u56,2.0,"43.70284272,-72.28796634",2013-05-31 00:43:34
u56,1.0,"43.71654905,-72.30960914",2013-06-04 00:03:51
u57,2.0,"43.70666061,-72.28903716",2013-04-26 22:56:14
u57,1.0,"43.70485698,-72.28945429",2013-05-03 03:47:43
u57,1.0,"43.70179228,-72.28860724",2013-05-08 23:25:41
u57,1.0,"43.70308576,-72.28839024",2013-05-06 22:30:50
u57,2.0,"43.70687238,-72.28901692",2013-05-04 22:08:07
u57,1.0,"43.70732268,-72.28833124",2013-05-11 00:12:00
u57,1.0,"43.7070796,-72.28882058",2013-05-07 22:50:48
u57,1.0,"43.70700709,-72.28922941",2013-05-12 00:12:11
u57,2.0,Unknown,2013-05-04 02:25:29
u57,1.0,"43.707181,-72.29006239",2013-05-13 02:15:19
u57,1.0,"43.7072387,-72.28877449",2013-05-14 00:00:12
u57,3.0,Unknown,2013-05-20 00:09:05
u57,1.0,"43.70615351,-72.28682232",2013-05-23 00:35:44
u57,1.0,"43.70236185,-72.28476643",2013-05-25 00:01:36
u57,2.0,"43.70502248,-72.28958197",2013-05-28 00:38:10
u57,3.0,"43.70622114,-72.2867619",2013-05-26 00:23:37
u57,2.0,"43.70385587,-72.28950707",2013-05-31 00:16:24
u57,1.0,"43.70706952,-72.28925006",2013-06-04 00:04:49
u57,1.0,"43.66400198,-72.30431921",2013-06-03 00:23:34
u58,1.0,"43.70607286,-72.2833536",2013-04-26 20:37:10
u58,1.0,"43.70607286,-72.2833536",2013-04-26 22:01:25
u58,3.0,"43.65097173,-72.30990324",2013-05-03 03:46:18
u58,3.0,"43.70520947,-72.28356895",2013-05-04 03:26:56
u58,1.0,"43.70546147,-72.28368453",2013-05-05 23:14:52
u58,1.0,"43.70613957,-72.28332105",2013-05-11 00:00:16
u58,3.0,"43.70614926,-72.28344788",2013-05-14 02:38:47
u58,3.0,"43.70838377,-72.28274138",2013-05-10 01:27:14
u58,1.0,"43.70647378,-72.28294033",2013-05-13 03:45:22
u58,1.0,"43.70647378,-72.28294033",2013-05-13 03:45:19
u58,2.0,"43.70638908,-72.28324332",2013-05-22 00:23:00
u58,1.0,"43.70646499,-72.28333085",2013-05-24 01:35:16
u58,3.0,"43.70627797,-72.28329051",2013-05-31 00:05:29
u58,3.0,"43.70606092,-72.28326211",2013-05-26 01:57:03
u58,1.0,"43.70534904,-72.2834498",2013-06-01 03:30:42
u58,1.0,"43.62470731,-72.32462104",2013-05-28 04:42:59
u58,2.0,"43.70622433,-72.28334234",2013-05-29 00:07:43
u58,2.0,"43.7064518,-72.28345807",2013-06-02 00:06:38
u59,3.0,"43.70479466859251,-72.28935417719185",2013-04-29 15:58:34
u59,1.0,"43.705345443449914,-72.29143733158708",2013-04-26 04:37:26
u59,1.0,"43.703765999525785,-72.29026176966727",2013-04-25 23:53:56
u59,3.0,Unknown,2013-04-27 12:01:49
u59,1.0,"43.705437812022865,-72.29115846566856",2013-04-26 08:17:21
u59,1.0,"43.705083089880645,-72.28796797804534",2013-04-26 23:08:45
u59,3.0,Unknown,2013-04-27 21:15:31
u59,2.0,Unknown,2013-04-30 10:49:11
u59,3.0,"43.705516937188804,-72.29096400551498",2013-04-28 21:11:24
u59,3.0,"43.70636967010796,-72.28717530146241",2013-04-29 10:27:12
u59,2.0,"43.706689733080566,-72.28658253327012",2013-04-29 08:14:18
u59,2.0,"43.704183753579855,-72.28855940513313",2013-04-29 19:05:44
u59,2.0,"43.704183753579855,-72.28855940513313",2013-04-29 16:53:34
u59,2.0,"43.70579710230231,-72.29083056561649",2013-04-30 19:03:43
u59,3.0,"43.70313869789243,-72.2904294077307",2013-05-01 05:00:59
u59,1.0,"43.70489332359284,-72.28969481773674",2013-05-02 07:11:23
u59,1.0,"43.70554116088897,-72.29079972021282",2013-05-02 02:02:01
u59,3.0,"43.70563415810466,-72.2912774886936",2013-05-02 16:02:51
u59,1.0,"43.70215223170817,-72.28934881277382",2013-05-02 17:59:05
u59,1.0,"43.70413077995181,-72.2902893461287",2013-05-03 00:00:40
u59,1.0,"43.70568541344255,-72.29091857559979",2013-05-03 05:00:54
u59,2.0,"29.90313538815826,-90.02738610841334",2013-05-13 07:26:55
u59,1.0,Unknown,2013-05-04 10:27:01
u59,3.0,"43.705581771209836,-72.29074255563319",2013-05-06 10:44:15
u59,3.0,"43.70553600601852,-72.29107699356973",2013-05-16 15:42:57
u59,1.0,Unknown,2013-05-05 02:14:19
u59,2.0,"43.706466439180076,-72.28715711273253",2013-05-08 12:07:54
u59,3.0,Unknown,2013-05-09 08:22:07
u59,1.0,"43.70178573299199,-72.28840081952512",2013-05-05 06:20:16
u59,3.0,"43.705528462305665,-72.29130095802248",2013-05-03 20:04:21
u59,1.0,"43.70416569057852,-72.29038154706359",2013-05-07 02:30:17
u59,1.0,Unknown,2013-05-08 03:48:37
u59,3.0,Unknown,2013-05-03 23:49:24
u59,1.0,Unknown,2013-05-04 22:28:47
u59,1.0,"43.703408762812614,-72.28875830769539",2013-05-09 17:54:58
u59,2.0,"29.90291280671954,-90.0272652413696",2013-05-12 12:07:21
u59,3.0,"43.70551781728864,-72.29054197669029",2013-05-05 20:56:21
u59,3.0,Unknown,2013-05-08 17:36:44
u59,3.0,Unknown,2013-05-15 06:04:02
u59,1.0,"43.70586520526558,-72.29101865552366",2013-05-04 04:01:34
u59,3.0,"43.70743128005415,-72.28925778530538",2013-05-15 08:12:37
u59,3.0,"43.705429220572114,-72.29127271100879",2013-05-07 16:57:32
u59,2.0,Unknown,2013-05-11 00:00:10
u59,1.0,"43.709054100327194,-72.28421556763351",2013-05-09 22:00:30
u59,2.0,"33.64048871677369,-84.43573283962905",2013-05-11 17:34:15
u59,3.0,"43.70531283784658,-72.28896860964596",2013-05-18 00:04:17
u59,1.0,Unknown,2013-05-19 01:18:00
u59,1.0,"43.704725224524736,-72.28949784301221",2013-05-20 00:24:14
u59,1.0,"43.705568527802825,-72.29081480763853",2013-05-19 19:34:55
u59,1.0,"43.70492928195745,-72.29191333986819",2013-05-18 21:08:09
u59,3.0,"43.70559212286025,-72.29091203771532",2013-05-20 20:47:34
u59,3.0,"43.70559212286025,-72.29091203771532",2013-05-20 22:53:15
