uid,resp_time,location,number
u12,2013-03-28 00:26:11,"43.63759451,-72.24841422",2.0
u12,2013-03-29 06:16:16,"43.63750239,-72.24838839",3.0
u12,2013-03-31 06:09:07,"43.63735709,-72.24818692",1.0
u12,2013-04-01 02:04:40,"43.64714305,-72.18863182",1.0
u12,2013-04-01 15:07:36,"43.63758924,-72.24854285",1.0
u12,2013-04-04 04:00:34,"43.70231248,-72.28784577",3.0
u12,2013-04-07 06:08:58,Unknown,4.0
u12,2013-04-08 06:00:50,"37.08200819,-76.38337962",3.0
u12,2013-04-10 20:23:06,"43.63733001,-72.24831108",3.0
u12,2013-04-13 17:52:55,"43.63769981,-72.24843196",4.0
u12,2013-04-11 20:52:29,"43.63760479,-72.24817944",1.0
u12,2013-04-13 22:23:54,"43.63800068,-72.25275713",3.0
u12,2013-04-14 20:04:16,"43.63788781,-72.24855406",1.0
u12,2013-04-14 06:02:30,"43.63750659,-72.24820929",1.0
u12,2013-04-19 08:09:31,"43.63750473,-72.24859763",3.0
u12,2013-04-29 08:28:05,"43.6375209,-72.24825666",1.0
u12,2013-04-22 06:46:00,"43.63751615,-72.24827533",1.0
u12,2013-05-12 15:40:48,"43.63779157,-72.24841028",1.0
u14,2013-03-31 06:07:53,"43.70498786,-72.28672971",4.0
u14,2013-04-03 04:03:07,"43.70597053,-72.28839433",3.0
u14,2013-03-27 23:17:16,"43.70612113,-72.28723353",4.0
u14,2013-03-29 09:01:37,"43.70485903,-72.28640248",3.0
u14,2013-03-29 19:22:41,"43.70509271,-72.28680761",3.0
u14,2013-03-30 06:48:35,"43.70415142,-72.28835024",3.0
u14,2013-03-30 09:52:17,"43.70499355,-72.28677683",4.0
u14,2013-03-30 18:58:44,"43.70503113,-72.28694162",4.0
u14,2013-04-01 08:58:46,"43.70516844,-72.28680259",2.0
u14,2013-04-02 04:01:38,"43.7048674,-72.28716119",3.0
u14,2013-04-03 01:12:20,"43.70759133,-72.28860353",2.0
u14,2013-04-04 04:30:58,"43.70169949,-72.28842649",3.0
u14,2013-04-07 06:07:20,"43.70476614,-72.28673145",3.0
u14,2013-04-06 20:47:16,"43.70506289,-72.28675801",4.0
u14,2013-04-10 21:03:52,"43.70498939,-72.28699053",3.0
u14,2013-04-09 09:08:45,"43.70477259,-72.28698419",3.0
u14,2013-04-11 20:10:43,"43.70511041,-72.28702345",4.0
u14,2013-04-12 20:03:20,"43.70460577,-72.28671025",4.0
u14,2013-04-17 06:29:59,"43.70496368,-72.28727007",4.0
u14,2013-04-21 06:04:52,"43.70592312,-72.28765391",4.0
u14,2013-04-22 06:00:04,"43.70497161,-72.28670851",3.0
u14,2013-05-09 08:24:40,"43.70512664,-72.28785661",3.0
u14,2013-05-11 20:32:55,"43.70490336,-72.286727",4.0
u14,2013-05-12 18:02:41,"43.70592194,-72.28696999",3.0
u14,2013-05-06 07:12:25,"43.70635373,-72.28713582",3.0
u14,2013-05-29 02:13:38,Unknown,1.0
u15,2013-03-29 08:36:42,"43.70575397,-72.29579325",5.0
u15,2013-03-30 06:00:41,"43.70475624,-72.29065153",5.0
u15,2013-04-04 04:49:10,"43.70414117,-72.29034521",5.0
u15,2013-04-08 05:59:13,Unknown,4.0
u15,2013-04-08 04:29:23,"41.49583437,-71.45812765",4.0
u15,2013-04-09 06:14:04,Unknown,4.0
u15,2013-04-14 21:38:36,Unknown,4.0
u15,2013-04-16 06:33:13,"43.7052318,-72.29189415",5.0
u15,2013-04-22 06:06:38,Unknown,4.0
u15,2013-04-23 06:00:48,"43.70746352,-72.28565777",4.0
u16,2013-03-27 20:02:45,"43.70284853,-72.29016458",4.0
u16,2013-03-29 06:01:13,"43.70705237,-72.28884358",5.0
u16,2013-03-31 06:41:26,"43.70490618,-72.2903464",5.0
u16,2013-03-30 08:03:04,"43.70724486,-72.28721651",5.0
u16,2013-04-01 07:20:26,"43.70358976,-72.29054215",4.0
u16,2013-04-03 05:19:26,"43.70358976,-72.29054215",4.0
u16,2013-04-04 04:50:42,"43.70450379,-72.28884561",4.0
u16,2013-04-07 21:10:09,"43.70362252,-72.29130382",3.0
u16,2013-04-08 08:22:07,"43.70638642,-72.28846824",3.0
u16,2013-04-10 20:00:15,"43.70474513,-72.28856577",4.0
u16,2013-04-10 02:33:10,"43.71418086,-72.2968304",4.0
u16,2013-04-13 20:16:44,"43.70364199,-72.29076278",2.0
u16,2013-04-11 20:01:03,Unknown,4.0
u16,2013-04-12 20:30:40,"43.70364199,-72.29076278",4.0
u16,2013-04-14 20:19:27,"43.70348086,-72.29159422",2.0
u16,2013-04-17 06:00:53,"43.71269528,-72.28398406",4.0
u16,2013-04-18 02:36:27,"43.70692473,-72.28664094",2.0
u16,2013-04-18 20:43:20,"43.70378332,-72.29056908",3.0
u16,2013-04-19 06:02:23,"43.70590563,-72.28948565",3.0
u16,2013-04-21 06:42:34,"43.70371738,-72.29052339",3.0
u16,2013-04-23 06:01:02,"43.70366774,-72.29147122",1.0
u16,2013-04-28 06:10:06,"43.70375428,-72.29078493",2.0
u16,2013-04-27 04:35:31,"43.70383449,-72.29122954",2.0
u16,2013-05-01 21:20:08,Unknown,2.0
u16,2013-05-03 07:00:10,"43.70360319,-72.29109274",3.0
u16,2013-05-12 10:21:17,"43.70386158,-72.29032649",3.0
u16,2013-05-06 06:00:07,"43.70369577,-72.29064258",2.0
u16,2013-05-05 17:09:21,"43.70397531,-72.28989529",2.0
u16,2013-05-14 17:19:25,"43.70391463,-72.28988644",4.0
u16,2013-05-10 16:27:04,"43.70268316,-72.28781994",3.0
u16,2013-05-11 08:07:18,"43.70317722,-72.28939878",4.0
u16,2013-05-07 17:48:08,"43.70534496,-72.29049134",3.0
u16,2013-05-13 16:07:18,Unknown,1.0
u16,2013-05-18 19:13:44,Unknown,4.0
u16,2013-05-21 02:48:22,Unknown,3.0
u16,2013-05-29 02:00:39,"43.68753666,-72.29250241",1.0
u16,2013-05-24 06:22:51,"43.70390811,-72.29065789",3.0
u16,2013-05-26 02:06:34,"43.70364151,-72.29040973",3.0
u16,2013-05-27 03:53:18,"43.70370567,-72.28967439",2.0
u16,2013-05-30 02:29:19,"43.68753666,-72.29250241",1.0
u17,2013-03-29 06:01:28,"43.70465195,-72.29099209",3.0
u17,2013-03-27 22:05:16,"43.70652474,-72.28811653",1.0
u17,2013-03-30 06:37:17,"43.70454578,-72.29083895",3.0
u17,2013-04-01 06:26:16,"43.70470793,-72.29118335",1.0
u17,2013-04-09 05:54:29,"43.70512967,-72.28920458",4.0
u17,2013-04-09 05:54:26,"43.70512967,-72.28920458",4.0
u17,2013-04-16 23:51:36,"43.70495522,-72.29090614",3.0
u17,2013-04-11 09:12:04,"43.70380893,-72.28772947",2.0
u17,2013-04-11 20:55:37,"43.70380893,-72.28772947",3.0
u17,2013-04-13 19:32:25,"43.70459704,-72.29138802",4.0
u17,2013-04-14 21:53:29,"43.70459704,-72.29138802",2.0
u17,2013-04-16 06:01:13,"43.70495522,-72.29090614",4.0
u17,2013-04-18 07:56:41,"43.70432313,-72.29132532",2.0
u17,2013-04-19 02:36:45,"43.70237732,-72.28914013",3.0
u17,2013-04-19 16:44:18,"43.70421868,-72.29109236",3.0
u17,2013-04-21 08:48:46,Unknown,3.0
u17,2013-04-20 19:46:59,Unknown,3.0
u17,2013-04-21 22:10:32,Unknown,4.0
u17,2013-04-22 06:12:14,"43.70462714,-72.28876934",4.0
u17,2013-04-23 06:05:48,Unknown,2.0
u17,2013-04-28 06:05:29,"43.70366438,-72.2901632",3.0
u17,2013-04-29 04:34:08,Unknown,2.0
u17,2013-05-11 08:13:33,Unknown,2.0
u17,2013-05-06 08:43:00,"43.70238747,-72.28949237",1.0
u17,2013-05-05 06:43:32,"43.70443163,-72.29097302",2.0
u17,2013-05-15 01:49:29,"43.70673393,-72.28776049",1.0
u17,2013-05-13 09:04:03,"43.70440021,-72.29112204",1.0
u17,2013-05-14 08:33:53,"43.7047545,-72.28932815",1.0
u17,2013-05-24 12:06:39,Unknown,3.0
u17,2013-05-26 00:26:34,Unknown,1.0
u17,2013-05-27 03:13:08,Unknown,1.0
u18,2013-03-27 16:52:43,"43.70687522,-72.28935409",3.0
u18,2013-03-28 17:59:03,"43.70725878,-72.28908602999999",3.0
u18,2013-03-29 07:07:41,"43.70732982,-72.28913201",3.0
u18,2013-03-30 08:07:09,"43.70753673,-72.28928834",2.0
u18,2013-03-31 06:15:39,"43.70715631,-72.28913382",2.0
u18,2013-04-05 18:13:40,"43.70605791,-72.28694024",3.0
u18,2013-04-05 18:13:33,"43.70605791,-72.28694024",1.0
u18,2013-04-06 04:09:51,"43.7070722,-72.28918173",2.0
u18,2013-04-08 07:25:23,"43.70736049,-72.28920014",1.0
u18,2013-04-08 04:11:41,"43.70730177,-72.28915579",3.0
u18,2013-04-10 20:36:03,"43.70155456,-72.28823683",3.0
u18,2013-04-11 20:02:14,"43.70730854,-72.287476",2.0
u18,2013-04-11 20:08:17,"43.70730854,-72.287476",2.0
u18,2013-04-17 07:13:08,"43.70498286,-72.28791117",3.0
u18,2013-04-12 21:02:25,"43.70728713,-72.28820549",1.0
u18,2013-04-19 03:25:47,"43.70264346,-72.28707",2.0
u18,2013-04-21 06:17:38,"43.70724964,-72.28892471",2.0
u18,2013-04-21 16:06:44,"43.70734979,-72.28910436",1.0
u18,2013-04-22 07:43:30,"43.70610767,-72.28849979",1.0
u18,2013-04-23 07:40:26,"43.70728871,-72.28933649",1.0
u18,2013-05-03 16:18:18,"43.70739317,-72.28896594",1.0
u18,2013-05-28 02:52:32,"43.70735666,-72.2890518",1.0
u19,2013-03-30 06:08:49,"43.70288904,-72.28988903",1.0
u19,2013-03-27 06:51:45,"43.70690704,-72.28632015",2.0
u19,2013-03-29 08:15:27,"43.69950084,-72.29157244",2.0
u19,2013-04-01 08:33:00,Unknown,3.0
u19,2013-04-04 04:08:22,"43.69789429,-72.31446361",3.0
u19,2013-04-03 05:05:31,"43.70106694,-72.2864999",1.0
u19,2013-04-05 01:44:01,"43.7030279,-72.28948573",4.0
u19,2013-04-06 04:12:49,"43.70676365,-72.28546175",3.0
u19,2013-04-08 06:25:08,"43.7067029,-72.28540419",2.0
u19,2013-04-10 20:05:13,"43.70647041,-72.28787574",3.0
u19,2013-04-12 20:20:00,"43.70651205,-72.28555058",3.0
u19,2013-04-11 20:00:04,"43.70300231,-72.28918281",4.0
u19,2013-04-13 20:00:39,"43.70310945,-72.29051358",4.0
u19,2013-04-14 04:16:46,"43.70285468,-72.29111293",4.0
u19,2013-04-14 20:30:22,"43.70285468,-72.29111293",5.0
u19,2013-04-16 06:16:28,"43.70154751,-72.29133289",4.0
u19,2013-04-17 07:33:09,"43.7027651,-72.2899934",4.0
u19,2013-04-18 06:00:50,"43.69378323,-72.29014069",4.0
u19,2013-04-19 06:04:49,"43.70734975,-72.28629956",4.0
u19,2013-04-21 06:28:55,"43.7067391,-72.28556913",5.0
u19,2013-04-22 07:00:34,"43.7067805,-72.28550931",5.0
u19,2013-04-23 06:00:53,"43.70676468,-72.28542565",4.0
u19,2013-04-26 07:15:58,"43.70445438,-72.28941379",5.0
u19,2013-05-01 09:28:10,"43.70101204,-72.28677708",3.0
u19,2013-05-03 07:04:45,"43.7071838,-72.28865575",3.0
u19,2013-05-12 08:58:24,"43.70701211,-72.28611727",5.0
u19,2013-05-10 20:32:24,"43.70680418,-72.28601166",3.0
u19,2013-05-06 07:29:57,"43.70706627,-72.28596306",5.0
u19,2013-05-10 07:01:28,"43.70300642,-72.28981807",2.0
u19,2013-05-05 07:42:43,"43.70691192,-72.28587513",3.0
u19,2013-05-11 06:28:07,"43.70702534,-72.28577028",4.0
u19,2013-05-14 08:14:04,"43.70650157,-72.28532126",3.0
u19,2013-05-17 07:25:53,"43.70714135,-72.28594665",4.0
u19,2013-05-21 09:12:26,"43.70712264,-72.28701115",3.0
u19,2013-05-22 08:10:48,"43.7040776,-72.29042456",4.0
u19,2013-05-24 06:34:18,"43.70722775,-72.28725812",3.0
u19,2013-05-25 08:22:04,"43.70744109,-72.28667853",3.0
u19,2013-05-26 09:52:47,"43.70709334,-72.28524117",3.0
