uid,location,resp_time,tomorrow
u16,"43.68753666,-72.29250241",2013-05-29 04:23:53,3.0
u16,"43.70385112,-72.29006958",2013-05-26 04:19:43,2.0
u16,"43.70370567,-72.28967439",2013-05-27 04:55:55,2.0
u16,"43.68753666,-72.29250241",2013-05-28 05:41:29,2.0
u17,"43.70366438,-72.2901632",2013-04-28 00:23:22,2.0
u17,"43.7060191,-72.28758328",2013-04-26 07:27:14,3.0
u17,Unknown,2013-04-29 04:33:25,2.0
u17,"43.70426646,-72.29095652",2013-05-01 02:22:32,2.0
u17,"43.70419436,-72.29111957",2013-05-17 09:53:35,3.0
u17,Unknown,2013-05-24 12:07:10,2.0
u17,Unknown,2013-05-27 05:40:37,2.0
u17,Unknown,2013-05-28 04:18:21,2.0
u17,Unknown,2013-05-29 04:25:41,3.0
u17,"43.70583041,-72.28925846",2013-05-31 04:37:00,2.0
u17,"43.70583041,-72.28925846",2013-06-01 15:37:53,3.0
u18,"43.70755542,-72.28919066",2013-04-29 22:41:17,2.0
u19,"43.70846677,-72.28804608",2013-04-25 23:26:00,2.0
u19,"43.70269481,-72.28974396",2013-04-26 05:55:26,1.0
u19,"43.70101204,-72.28677708",2013-05-01 02:06:23,3.0
u19,"43.70101204,-72.28677708",2013-05-01 09:29:14,3.0
u19,"43.70720596,-72.28591693",2013-05-03 22:25:51,1.0
u19,"43.70680418,-72.28601166",2013-05-10 20:32:18,2.0
u19,"43.70720596,-72.28591693",2013-05-03 20:33:38,1.0
u19,"43.70714135,-72.28594665",2013-05-17 07:25:37,1.0
u19,"43.70691192,-72.28587513",2013-05-05 07:54:01,3.0
u19,"43.70754131,-72.28597491",2013-05-20 08:29:11,3.0
u19,"43.70712264,-72.28701115",2013-05-21 09:12:16,3.0
u19,"43.7040776,-72.29042456",2013-05-22 08:10:38,3.0
u19,"43.7066368,-72.2855942",2013-05-23 08:02:26,2.0
u19,Unknown,2013-05-24 08:15:55,2.0
u19,"43.70720558,-72.28724376",2013-05-27 07:15:49,2.0
u19,"43.70706719,-72.28602375",2013-05-26 07:16:34,1.0
u19,"43.70717259,-72.2867125",2013-06-01 07:05:52,1.0
u19,"43.70744109,-72.28667853",2013-05-25 08:23:41,2.0
u19,"43.70709334,-72.28524117",2013-05-26 09:52:38,3.0
u19,"43.70696465,-72.28583899",2013-05-31 07:12:30,1.0
u19,"43.70696465,-72.28583899",2013-05-31 04:35:54,1.0
u22,"43.70414897,-72.29048617",2013-04-25 05:04:15,1.0
u22,"43.70396191,-72.2905632",2013-05-08 07:17:23,1.0
u23,"43.70341941,-72.29018557",2013-04-25 22:21:17,1.0
u24,"43.4009285,-72.02075727",2013-05-17 19:32:57,1.0
u24,Unknown,2013-05-28 04:03:20,2.0
u27,"43.70401485,-72.28565495",2013-04-28 23:23:31,3.0
u27,"43.70320704,-72.28752608",2013-05-03 22:12:56,1.0
u30,"41.23064284,-73.0728831",2013-04-25 04:01:33,2.0
u32,"43.47216071,-71.99885894",2013-05-01 02:13:10,1.0
u32,"43.65273307,-72.24424084",2013-05-27 06:29:07,2.0
u32,"43.71929276,-72.27265728",2013-06-01 06:03:37,1.0
u33,"43.70142001,-72.28955183",2013-04-25 22:03:54,2.0
u33,"43.70131074,-72.28750145",2013-04-27 22:10:35,2.0
u33,"43.70447388,-72.29152074",2013-04-30 07:20:14,3.0
u33,Unknown,2013-05-10 01:49:59,3.0
u33,"43.70373534,-72.29571277",2013-05-03 22:00:02,3.0
u33,Unknown,2013-05-09 00:38:43,3.0
u33,"43.70375574,-72.29589425",2013-05-26 04:00:21,2.0
u33,"43.70380536,-72.29607682",2013-05-28 04:00:24,3.0
u33,Unknown,2013-05-30 02:20:06,2.0
u33,Unknown,2013-05-30 04:00:27,2.0
u33,"43.70483061,-72.29437769",2013-06-01 04:00:28,3.0
u33,"43.7035783,-72.29597417",2013-05-31 04:06:55,3.0
u35,"43.70511029,-72.28334179",2013-04-25 17:20:15,1.0
u35,"43.65878986,-72.24861367",2013-04-29 02:24:43,2.0
u35,"43.70462528,-72.30440054",2013-05-01 02:35:17,1.0
u35,"43.703015979999996,-72.28626504",2013-05-29 04:32:48,1.0
u36,"43.65191693,-72.31010354",2013-04-25 23:33:35,2.0
u36,"43.71581669,-72.27584452",2013-05-01 02:09:31,1.0
u36,Unknown,2013-05-09 00:07:32,1.0
u36,"43.70661474,-72.28680131",2013-05-03 22:47:52,2.0
u36,"43.70666049,-72.28716466",2013-05-28 05:05:35,1.0
u36,"43.65177487,-72.3099215",2013-05-26 05:13:16,1.0
u39,"43.70691563,-72.28615388",2013-04-25 20:32:14,1.0
u41,"43.70583491,-72.28851946",2013-04-25 22:45:06,3.0
u42,"43.65864637,-72.24850945",2013-05-02 02:52:05,1.0
u42,"43.68142273,-72.27279919",2013-05-08 19:55:47,1.0
u42,"43.66431287,-72.25653383",2013-05-13 19:40:40,1.0
u42,"43.66431287,-72.25653383",2013-05-13 19:40:27,1.0
u42,"43.6584798,-72.24863183",2013-05-27 05:42:52,1.0
u42,"43.65869136,-72.24864207",2013-05-28 12:20:20,1.0
u42,"43.67176007,-72.26386586",2013-05-29 10:53:52,1.0
u43,"43.70568229,-72.29131548",2013-04-25 22:05:53,2.0
u43,"43.70568781,-72.29132352",2013-05-02 02:29:43,1.0
