uid,location,place,productivity,resp_time,noise
u51,"42.03630683,-72.61357093",out,3.0,2013-05-05 23:55:36,1.0
u51,"43.68782455,-72.28409129",outside,1.0,2013-05-12 21:30:27,1.0
u51,"43.70646762,-72.28684325",sud,1.0,2013-05-06 03:23:52,1.0
u51,"43.70636234,-72.28679273",sud,1.0,2013-05-14 04:15:34,1.0
u53,"43.70782584,-72.28356464",lab 004,3.0,2013-04-26 00:06:05,2.0
u53,"43.70549233,-72.28309105",home,3.0,2013-04-29 23:09:29,2.0
u53,"43.70535023,-72.28313549",lab 004 sudikoff,3.0,2013-05-01 22:52:14,2.0
u53,"43.70530903,-72.28280628",home -- n. park st,3.0,2013-05-12 04:32:16,2.0
u53,Unknown,lab 004 sudi,3.0,2013-05-08 20:23:00,2.0
u53,"43.70688236,-72.28741965",lab 143 sudi,3.0,2013-05-04 01:31:26,3.0
u53,"43.70554233,-72.28319126",,1.0,2013-05-18 02:51:00,1.0
u54,"43.70383078,-72.29584402",McLane 4th floor,3.0,2013-04-29 22:04:09,1.0
u54,"43.70520091,-72.28975154",Dana cubicles,4.0,2013-05-02 22:38:33,1.0
u54,"43.70325067,-72.28902226",Berry 1,2.0,2013-05-04 00:42:57,1.0
u56,"43.70557718,-72.28911584",240 moore,2.0,2013-05-08 02:32:14,1.0
u57,"43.70716201,-72.28811592",Sudikoff 148,3.0,2013-04-29 23:32:33,1.0
u57,"43.70719162,-72.28906195",Sudikoff 148,3.0,2013-04-28 22:55:05,2.0
u57,"43.70690514,-72.28667156",sudikoff 214,3.0,2013-04-30 22:10:46,1.0
u57,"43.70661129,-72.28851578",outside the lsc,4.0,2013-05-02 22:09:35,1.0
u57,"43.70688744,-72.28729664",sudikoff 003,3.0,2013-05-11 04:01:24,1.0
u58,"43.70624722,-72.28332992",room,4.0,2013-04-26 00:13:54,1.0
u58,"43.70616658,-72.2833093",room,2.0,2013-04-28 22:06:07,1.0
u58,"43.70612104,-72.2832571",room,4.0,2013-04-30 22:00:13,1.0
