uid,resp_time,other_relaxing,other_working,relaxing,working,location
u04,2013-04-12 02:04:45,3.0,1.0,3.0,2.0,
u04,2013-04-11 06:27:51,2.0,1.0,3.0,2.0,
u04,2013-04-12 04:39:24,2.0,1.0,3.0,2.0,
u04,2013-04-12 02:04:34,3.0,1.0,3.0,2.0,
u04,2013-04-12 16:58:07,3.0,1.0,3.0,2.0,
u04,2013-04-13 14:38:25,2.0,3.0,3.0,2.0,
u04,2013-04-22 23:01:29,2.0,2.0,3.0,2.0,"43.70623282,-72.28816572"
u04,2013-04-28 19:00:14,3.0,3.0,3.0,1.0,"43.70425558,-72.28583424"
u04,2013-04-27 17:26:33,3.0,2.0,2.0,2.0,"43.70427751,-72.28593045"
u04,2013-04-26 17:29:12,2.0,2.0,3.0,2.0,"43.70403989,-72.28593925"
u04,2013-05-15 23:19:09,2.0,2.0,3.0,2.0,"43.7026866,-72.28761377"
u07,2013-04-10 17:56:44,1.0,1.0,3.0,2.0,
u07,2013-04-11 09:31:26,2.0,1.0,2.0,3.0,
u07,2013-04-12 08:19:44,2.0,1.0,2.0,4.0,
u07,2013-04-17 08:10:54,1.0,3.0,2.0,2.0,
u07,2013-04-18 18:37:29,1.0,1.0,2.0,3.0,null
u07,2013-04-18 00:34:38,1.0,3.0,1.0,2.0,
u07,2013-04-20 06:50:46,2.0,1.0,2.0,2.0,"43.70392925,-72.28380701"
u07,2013-04-23 21:26:34,1.0,1.0,2.0,3.0,"43.70425769,-72.28391582"
u07,2013-04-26 17:25:42,1.0,1.0,1.0,1.0,"43.70410593,-72.28433421"
u08,2013-04-09 09:35:42,1.0,3.0,2.0,2.0,
u08,2013-04-10 10:32:55,2.0,2.0,2.0,3.0,
u08,2013-04-10 17:49:29,2.0,2.0,2.0,3.0,
u08,2013-04-18 20:32:15,2.0,3.0,2.0,3.0,null
u08,2013-04-13 01:57:21,2.0,3.0,2.0,3.0,
u08,2013-04-12 02:20:12,1.0,2.0,2.0,3.0,
u08,2013-04-13 11:33:42,2.0,2.0,2.0,3.0,
u08,2013-04-15 04:07:00,1.0,3.0,2.0,3.0,
u08,2013-04-15 07:02:26,2.0,2.0,2.0,3.0,
u08,2013-04-16 04:12:26,2.0,3.0,2.0,3.0,
u08,2013-04-17 03:56:37,2.0,3.0,2.0,3.0,
u08,2013-04-18 06:04:46,1.0,3.0,2.0,3.0,
u08,2013-04-20 20:19:28,1.0,1.0,1.0,4.0,"43.70518194,-72.28800233"
u08,2013-04-21 20:19:02,1.0,1.0,1.0,4.0,"43.70406215,-72.28755806"
u08,2013-04-21 20:19:07,1.0,1.0,1.0,4.0,"43.70406215,-72.28755806"
u08,2013-04-24 21:09:29,1.0,1.0,1.0,4.0,"43.70466963,-72.28690138"
u08,2013-04-23 22:43:55,1.0,1.0,1.0,5.0,"43.70522947,-72.29139506"
u08,2013-04-22 20:34:32,1.0,1.0,1.0,1.0,"43.7052687,-72.28811786"
u08,2013-04-23 06:28:05,1.0,1.0,1.0,5.0,"43.7052687,-72.28811786"
u08,2013-04-26 19:01:37,1.0,3.0,1.0,3.0,"43.7037697,-72.28671187"
u08,2013-05-01 19:01:52,1.0,1.0,1.0,5.0,"43.7052922,-72.2885156"
u08,2013-05-01 09:15:42,1.0,5.0,1.0,2.0,"43.70708811,-72.28767562"
u08,2013-05-05 09:18:43,1.0,1.0,1.0,5.0,"43.7037094,-72.28660102"
u08,2013-05-07 03:48:31,1.0,3.0,1.0,3.0,"43.7049437,-72.28880281"
u08,2013-05-15 18:09:01,1.0,1.0,1.0,5.0,"43.70386267,-72.288915"
u08,2013-05-19 22:36:31,1.0,1.0,1.0,5.0,"43.70573461,-72.28972765"
