uid,resp_time,level,location
u07,2013-03-27 03:43:32,2.0,"43.70675332,-72.2868274"
u07,2013-03-29 00:31:11,4.0,"43.70255001,-72.28685512"
u07,2013-03-27 08:16:30,4.0,"43.70287825,-72.28818009"
u07,2013-03-27 22:13:48,4.0,"43.7040066,-72.28391899"
u07,2013-03-27 20:39:30,1.0,"43.7040066,-72.28391899"
u07,2013-03-27 09:17:42,1.0,"43.70377905,-72.28420015"
u07,2013-03-27 17:18:05,1.0,"43.7040066,-72.28391899"
u07,2013-03-28 08:36:03,1.0,"43.70327981,-72.28393317"
u07,2013-03-28 18:04:50,1.0,"43.70381904,-72.28413912"
u07,2013-03-28 04:11:35,4.0,"43.70327981,-72.28393317"
u07,2013-03-29 05:59:23,4.0,"43.70321138,-72.29012708"
u07,2013-03-29 02:20:05,1.0,"43.70257385,-72.28793151"
u07,2013-03-28 23:37:13,4.0,"43.70200398,-72.28793859"
u07,2013-03-29 04:27:18,4.0,"43.70321138,-72.29012708"
u07,2013-03-28 23:29:33,1.0,"43.705217,-72.28640721"
u07,2013-03-29 03:17:14,1.0,"43.70321138,-72.29012708"
u07,2013-03-28 23:29:05,1.0,"43.705217,-72.28640721"
u07,2013-03-29 17:05:55,1.0,"43.70392608,-72.28391071"
u07,2013-03-29 20:02:38,4.0,"43.70880096,-72.28424497"
u07,2013-03-29 22:25:52,4.0,"43.70166036,-72.28814555"
u07,2013-04-01 06:58:21,5.0,"43.70393335,-72.2837312"
u07,2013-03-30 03:36:08,5.0,"43.70166036,-72.28814555"
u07,2013-03-31 07:08:35,4.0,"43.70358547,-72.28382208"
u07,2013-03-31 09:55:20,1.0,"43.70151102,-72.28661176"
u07,2013-03-31 02:07:50,5.0,"43.70386706,-72.28368428"
u07,2013-03-31 21:37:24,4.0,"43.70384974,-72.28380085"
u07,2013-03-31 22:50:02,4.0,"43.70384974,-72.28380085"
u07,2013-04-01 04:51:17,4.0,"43.70393335,-72.2837312"
u07,2013-04-03 10:12:46,4.0,"43.70391766,-72.28483911"
u07,2013-04-04 01:52:26,4.0,"43.70302005,-72.28456593"
u07,2013-04-03 17:57:15,4.0,"43.70391766,-72.28483911"
u07,2013-04-04 13:18:25,4.0,"43.7035913,-72.28369892"
u07,2013-04-05 08:22:12,5.0,"43.70406445,-72.28387812"
u07,2013-04-08 22:50:28,4.0,"42.68180911,-84.64766693"
u07,2013-04-11 09:32:21,4.0,"43.70416133,-72.28362449"
u07,2013-04-12 02:44:01,1.0,"43.70829698,-72.28430122"
u07,2013-04-11 19:10:01,1.0,"43.70404614,-72.28405349"
u07,2013-04-11 20:04:43,4.0,"43.70829698,-72.28430122"
u07,2013-04-12 22:11:31,4.0,"43.70249992,-72.28863527"
u07,2013-04-17 03:38:42,4.0,"43.70380132,-72.28395937"
u07,2013-04-13 22:23:40,4.0,"43.70380812,-72.28401109"
u07,2013-04-15 20:00:40,2.0,"43.70375535,-72.28381706"
u07,2013-04-16 04:00:13,1.0,"43.70846713,-72.28425547"
u07,2013-04-17 08:10:25,4.0,"43.70440959,-72.28378547"
u07,2013-04-18 10:44:37,4.0,"43.70643727,-72.28702697"
u07,2013-04-18 00:34:21,4.0,"43.70396269,-72.28384852"
u07,2013-04-20 05:05:40,4.0,"43.70413027,-72.28378295"
u07,2013-04-23 11:28:57,4.0,"43.7028215,-72.28758618"
u07,2013-04-23 21:32:16,5.0,"43.70425769,-72.28391582"
u08,2013-04-02 03:17:43,1.0,"43.70291844,-72.28747058"
u08,2013-03-27 02:04:16,2.0,Unknown
u08,2013-03-27 03:16:03,1.0,Unknown
u08,2013-03-28 21:18:28,3.0,"43.70582719,-72.28937924"
u08,2013-03-28 22:07:51,3.0,"43.70582719,-72.28937924"
u08,2013-03-28 23:12:09,1.0,"43.70582719,-72.28937924"
u08,2013-03-27 06:15:10,4.0,Unknown
u08,2013-03-27 09:11:10,4.0,Unknown
u08,2013-03-27 21:08:59,1.0,"43.70227295,-72.28989198"
u08,2013-03-27 22:26:57,1.0,"43.70528743,-72.29155419"
u08,2013-03-27 17:06:46,1.0,Unknown
u08,2013-03-28 04:53:49,2.0,"43.70528743,-72.29155419"
u08,2013-03-29 01:54:03,1.0,"43.70582719,-72.28937924"
u08,2013-03-28 07:56:46,3.0,"43.70528743,-72.29155419"
u08,2013-03-28 02:42:37,4.0,"43.70528743,-72.29155419"
u08,2013-03-29 00:10:06,1.0,"43.70582719,-72.28937924"
u08,2013-03-29 17:42:44,2.0,"43.70350954,-72.28608081"
u08,2013-03-29 21:04:33,2.0,"43.70350954,-72.28608081"
u08,2013-03-31 02:53:01,1.0,"43.70350954,-72.28608081"
u08,2013-03-30 20:38:42,1.0,"43.70350954,-72.28608081"
u08,2013-04-01 01:40:52,3.0,"43.70316589,-72.2862713"
u08,2013-04-01 06:26:26,2.0,"43.70712705,-72.28700077"
u08,2013-04-01 09:21:09,1.0,"43.70326445,-72.28627025"
u08,2013-04-01 16:49:40,1.0,"43.70326445,-72.28627025"
u08,2013-04-01 20:30:41,1.0,"43.70536875,-72.29101233"
u08,2013-04-03 02:31:44,1.0,"43.70237031,-72.28787598"
u08,2013-04-03 00:00:22,1.0,"43.70237031,-72.28787598"
u08,2013-04-03 06:38:51,1.0,"43.70237031,-72.28787598"
u08,2013-04-03 17:37:22,1.0,"43.70237031,-72.28787598"
u08,2013-04-04 00:17:37,1.0,"43.7052264,-72.28719803"
u08,2013-04-04 01:56:04,1.0,"43.7052264,-72.28719803"
u08,2013-04-04 05:51:34,1.0,"43.7052264,-72.28719803"
u08,2013-04-04 06:00:14,1.0,"43.7052264,-72.28719803"
u08,2013-04-04 19:44:41,1.0,"43.70301411,-72.28619057"
u08,2013-04-05 00:00:05,1.0,"43.70345019,-72.28639754"
u08,2013-04-08 02:54:10,1.0,"43.70278047,-72.28749202"
u08,2013-04-05 18:16:24,3.0,"43.70342734,-72.28638739"
u08,2013-04-06 06:10:20,1.0,Unknown
u08,2013-04-06 01:32:01,1.0,"43.70410077,-72.28719868"
u08,2013-04-07 02:26:48,1.0,"43.70376214,-72.28616855"
u08,2013-04-07 01:27:34,1.0,"43.04906525,-71.72455068"
u08,2013-04-09 09:36:19,1.0,"43.70364811,-72.28649081"
u08,2013-04-12 02:20:53,2.0,"43.70314121,-72.28659035"
u08,2013-04-09 22:08:47,1.0,"43.70357235,-72.28662725"
u08,2013-04-10 10:34:19,3.0,"43.70731779,-72.2868045"
u08,2013-04-10 17:49:32,3.0,"43.70370174,-72.28680811"
u08,2013-04-12 06:25:18,2.0,"43.70314121,-72.28659035"
u08,2013-04-11 03:37:42,1.0,"43.70370174,-72.28680811"
u08,2013-04-12 12:35:53,2.0,"43.70314121,-72.28659035"
u08,2013-04-13 01:56:56,2.0,"43.70385469,-72.28643647"
u08,2013-04-13 11:34:54,2.0,"43.70385469,-72.28643647"
u08,2013-04-15 04:07:28,2.0,"43.70343873,-72.28651243"
u08,2013-04-14 05:38:52,2.0,"43.70360138,-72.28652466"
u08,2013-04-15 07:21:57,3.0,"43.70343873,-72.28651243"
u08,2013-04-15 20:21:02,2.0,"43.70547864,-72.28756321"
u08,2013-04-16 04:33:48,2.0,"43.70322923,-72.28831716"
u08,2013-04-17 05:07:11,2.0,"43.70691883,-72.28761119"
u08,2013-04-18 20:34:16,3.0,"43.70430223,-72.29046297"
u08,2013-04-18 06:06:34,2.0,"43.70430223,-72.29046297"
u08,2013-04-20 20:20:31,2.0,"43.70518194,-72.28800233"
u08,2013-04-21 20:21:39,3.0,"43.70406215,-72.28755806"
u08,2013-04-23 23:01:48,2.0,"43.70434734,-72.28679491"
u08,2013-04-23 06:30:48,2.0,"43.7052687,-72.28811786"
u08,2013-04-25 00:57:17,3.0,"43.70440204,-72.29052256"
u08,2013-04-23 08:49:55,2.0,"43.7052687,-72.28811786"
u08,2013-04-26 07:14:11,3.0,"43.70277439,-72.28880163"
u08,2013-04-26 19:00:52,2.0,"43.7037697,-72.28671187"
u08,2013-04-27 00:31:29,3.0,"43.70295661,-72.28995533"
u08,2013-04-25 21:56:00,3.0,"43.70369581,-72.28686269"
u08,2013-04-26 08:19:51,2.0,"43.70277439,-72.28880163"
u08,2013-04-29 00:05:09,2.0,Unknown
