uid,breakfast,dinner,location,lunch,resp_time
u49,5.0,2.0,"43.707063135827056,-72.29074729373168",8.0,2013-05-04 21:01:48
u49,1.0,2.0,"43.70578575320415,-72.28875349174373",7.0,2013-05-10 20:07:31
u49,8.0,3.0,"43.705985547631826,-72.2890841770398",8.0,2013-05-07 06:02:50
u49,8.0,3.0,"43.70600375009001,-72.28871367120003",8.0,2013-05-17 22:15:43
u49,8.0,1.0,"43.70726994377907,-72.29067645819752",8.0,2013-05-20 23:32:00
u49,5.0,5.0,"43.70714202777838,-72.29071285135586",8.0,2013-05-24 06:28:40
u49,5.0,3.0,"43.707175423533876,-72.29072460503018",7.0,2013-05-31 07:53:38
u49,5.0,2.0,"43.706969888401865,-72.29062563084044",5.0,2013-05-25 23:03:42
u49,5.0,7.0,"43.70730262660705,-72.29076807376563",8.0,2013-05-27 00:59:03
u51,8.0,8.0,"43.70635682,-72.28708374",8.0,2013-04-23 21:32:10
u51,8.0,8.0,"43.70656607,-72.28683426",8.0,2013-04-24 19:34:36
u51,1.0,1.0,Unknown,1.0,2013-05-13 20:02:34
u51,1.0,1.0,"43.70625846,-72.28708596",1.0,2013-05-14 20:04:23
u52,8.0,3.0,Unknown,3.0,2013-04-22 21:36:21
u52,8.0,3.0,"43.70716636666667,-72.28887943333334",3.0,2013-04-23 20:47:34
u53,7.0,7.0,"43.70574235,-72.28345072",7.0,2013-04-24 21:34:51
u53,7.0,7.0,"43.70502894,-72.28316312",7.0,2013-04-23 21:41:16
u53,7.0,7.0,"43.70612107,-72.28855078",7.0,2013-05-03 20:38:13
u56,8.0,7.0,"43.71672365,-72.30903137",7.0,2013-04-24 21:32:35
u56,8.0,7.0,"43.71641225,-72.30929063",8.0,2013-05-08 20:24:51
u57,8.0,3.0,"43.70698087,-72.28888032",1.0,2013-04-23 20:54:26
u57,8.0,2.0,"43.70718906,-72.28844903",8.0,2013-04-22 17:28:28
u57,4.0,3.0,"43.70712537,-72.28865602",5.0,2013-04-24 17:37:52
u57,1.0,1.0,"43.70717609,-72.28924103",7.0,2013-04-26 17:28:57
u57,1.0,3.0,"43.70262136,-72.29084874",1.0,2013-04-30 10:28:38
u57,2.0,3.0,"43.7072135,-72.28866234",8.0,2013-05-03 07:31:10
u57,1.0,3.0,"43.7069901,-72.28912932",8.0,2013-05-03 20:12:47
u57,1.0,7.0,"43.70252572,-72.28846877",1.0,2013-05-04 20:09:34
