uid,location,negative,nevent,pevent,positive,resp_time
u27,"43.70406745,-72.2855782",6.0,,,1.0,2013-05-02 07:14:32
u27,"43.70420933,-72.28634886",1.0,,,1.0,2013-05-01 07:27:37
u30,"41.23064284,-73.0728831",4.0,,lunch with friends,5.0,2013-04-20 22:09:20
u32,"43.70300607,-72.29026873",6.0,Boston shootings,IFC bbq,3.0,2013-04-19 18:05:32
u32,"43.70587544,-72.2911665",3.0,ankle pain,pong tourney victory,6.0,2013-04-20 17:54:30
u32,"43.70587544,-72.2911665",3.0,Celtics lose,spring sing,6.0,2013-04-21 19:01:16
u32,"43.7031993,-72.2904444",5.0,having trouble with cs65 lab,finishing cs65  lab,3.0,2013-04-23 01:10:07
u32,"43.70759544,-72.28834343",2.0,class,harbor,6.0,2013-04-25 01:08:32
u33,"43.70365776,-72.29614056",2.0,,dimensions show,7.0,2013-04-19 18:39:46
u33,"43.7028052,-72.2897034",1.0,,solving the error in my code,5.0,2013-04-25 00:05:31
u33,"43.70096291,-72.2895679",7.0,6 hour exam,honestly couldn't think of one,3.0,2013-04-27 04:25:15
u33,"43.70366156,-72.29600886",1.0,MyRuns4,gospel choir,5.0,2013-05-02 07:02:06
u33,"43.70583433,-72.28880318",7.0,failed a midterm,band practice,3.0,2013-05-04 06:21:12
u33,"43.7035783,-72.29597417",7.0,not finishing paper,finishing app,7.0,2013-05-30 23:00:49
u33,"43.70357318,-72.29614424",1.0,taking my final,finishing my final,7.0,2013-06-02 23:01:38
u34,"43.71800672,-72.30801304",4.0,,lol,4.0,2013-04-23 00:00:42
u35,"43.7006735,-72.28884657",2.0,,,5.0,2013-04-19 20:17:15
u35,"43.70553437,-72.28348632",3.0,,,6.0,2013-04-27 22:34:52
u36,"42.34417536,-71.14269636",5.0,paper deadline,paper,6.0,2013-04-19 08:33:20
u36,"43.70659693,-72.2871206",4.0,plot,trip,6.0,2013-04-27 04:12:50
u36,"43.65191693,-72.31010354",4.0,task,Boston,5.0,2013-04-25 19:15:12
u36,"43.65190056,-72.30984909",4.0,coach,food,6.0,2013-04-26 07:03:36
u36,"43.65197574,-72.31018317",2.0,work,exercise,5.0,2013-05-02 07:07:07
u36,"43.70818124,-72.28597818",5.0,paper,hotpot,6.0,2013-05-20 23:28:58
u42,"43.65850087,-72.24835954",2.0,quarrel with friends,play games,6.0,2013-04-19 18:08:44
